rolling_window,future_horizon_days,mean_spearman_ic,median_spearman_ic,sign_hit_rate,annualized_top_minus_bottom_realized,observations
252,1,0.0126312990492534,0.0333333333333333,0.5237578388808489,0.0971447346456293,2764
252,5,0.0143297101449275,0.0333333333333333,0.5442028985507247,0.0888478551883214,2760
252,21,0.0029215257531584,0.0166666666666666,0.5679462261094914,0.0836864082688352,2744
504,1,0.0180447409447291,0.0333333333333333,0.5288835810332625,0.0321502563479876,2512
504,5,0.0207137161084529,0.0166666666666666,0.5586124401913876,0.0527128609396867,2508
504,21,0.0016720171214553,0.0,0.5940342429106473,0.0490127227209524,2492
756,1,0.0143865219051826,0.0333333333333333,0.5363323500491642,0.0105709872562533,2260
756,5,0.0088800236406619,0.0166666666666666,0.5719070133963751,-0.0023401918054965,2256
756,21,0.009047619047619,0.0166666666666666,0.6231646825396825,-0.0169462026520051,2240
