Strategy,Annual Return,Annual Volatility,Sharpe,Max Drawdown,Final Wealth,Avg Rebalance Turnover,Total Cost
Equal Weight,0.1264691520435066,0.1623523317597331,0.7789795851572345,-0.3698034177662748,4.159008002751123,0.005772588741297,0.0036136405520519
Markowitz,0.0987359950778901,0.1454206374167117,0.6789682457171197,-0.3250691808239029,3.0861855072276048,0.0406381295003201,0.0254394690672004
Original HMM-MPC,0.1069518560261544,0.1498218804729121,0.7138600562785714,-0.3265207351349727,3.3739907009727466,0.0182318942469806,0.0174126787987228
