year,EqualWeight_weekly_return,Markowitz_CVXPY_weekly_return,HMM_MPC_CVXPY_weekly_return,HMM_minus_EqualWeight,HMM_minus_Markowitz
2013,0.2760129947243188,0.2453194694762244,0.2691195647085369,-0.0068934300157819,0.0238000952323125
2014,0.1333653545628073,0.1988369800461031,0.1942098130239924,0.0608444584611851,-0.0046271670221107
2015,-0.0137167637972852,0.01969659909135,0.0516356549898575,0.0653524187871428,0.0319390558985075
2016,0.1426808408072444,0.0466975769342057,0.0629275788195795,-0.0797532619876648,0.0162300018853738
2017,0.1921069696358355,0.1614463552610112,0.1601600171275723,-0.0319469525082631,-0.0012863381334389
2018,-0.0623166900245774,-0.0340182629511516,-0.0263956063015696,0.0359210837230077,0.0076226566495819
2019,0.2778365361569783,0.2873626089676981,0.3342388058325454,0.056402269675567,0.0468761968648472
2020,0.1007328744497833,0.1261768154718321,0.1060462578816823,0.005313383431899,-0.0201305575901498
2021,0.2960419530503619,0.2136711350103473,0.2024286793355747,-0.0936132737147872,-0.0112424556747725
2022,-0.050889542812588,-0.0797308752845892,-0.0790547411626382,-0.0281651983500501,0.0006761341219509
2023,0.1389533718927669,-0.0019878099154972,0.0050597433423993,-0.1338936285503675,0.0070475532578966
2024,0.1584244469623692,0.0682223584721009,0.073493527990748,-0.0849309189716212,0.0052711695186471
