candidate,start,end,observations,annualized_return,annualized_volatility,sharpe,max_drawdown,final_wealth,avg_rebalance_turnover,total_cost
g8_a100_cap25_s1,2013-01-08,2024-12-31,3016,0.1289043305039201,0.1700351841167568,0.7581038664057103,-0.3286321811672711,4.267897816766928,0.0252263726724966,0.0188296378931331
g8_a075_cap25_s1,2013-01-08,2024-12-31,3016,0.1258194666557741,0.166288119351817,0.7566353335777223,-0.3308724206813659,4.130390537762384,0.0198710723782197,0.0147808413873321
g8_a075_cap10_s1,2013-01-08,2024-12-31,3016,0.1246990922346036,0.1669516181444769,0.7469175418634834,-0.3298979168459429,4.08146365921366,0.0191914794377231,0.0143730101747757
g5_a025_cap25_s1,2013-01-08,2024-12-31,3016,0.1111067340909246,0.1490962872792409,0.7452012127091668,-0.3306626969140354,3.528716696451045,0.0032071605632662,0.0023402058448528
g5_a025_cap10_s1,2013-01-08,2024-12-31,3016,0.1110609805099451,0.149104224135381,0.7448546890871849,-0.3306669087274444,3.526978019782754,0.0031554939597787,0.002339478410133
g8_a100_cap10_s1,2013-01-08,2024-12-31,3016,0.1260265919720513,0.1702792835999839,0.7401169966636109,-0.330120655880934,4.139494376891308,0.023689057777255,0.0177822734426725
g8_a025_cap25_s1,2013-01-08,2024-12-31,3016,0.1064476113885157,0.1440667133284812,0.7388772113222883,-0.3352293349473026,3.355642115728364,0.0030707268727429,0.0025982620872443
g5_a075_cap10_s1,2013-01-08,2024-12-31,3016,0.1300110372339862,0.1767735297028763,0.7354666586819346,-0.3309940155486077,4.318242828112495,0.0195858630409883,0.0142811605790255
g8_a025_cap10_s1,2013-01-08,2024-12-31,3016,0.1060084881794138,0.144153695598436,0.7353851577604926,-0.3352505334367006,3.339737728706505,0.0030740644881136,0.0025962905885513
g5_a075_cap25_s1,2013-01-08,2024-12-31,3016,0.1283230242230288,0.1766756763201855,0.726319700004837,-0.3305082558845769,4.241669728813117,0.0209782136800646,0.0151552392834083
g5_a100_cap25_s1,2013-01-08,2024-12-31,3016,0.1301703548292652,0.1793358476750274,0.7258468204591507,-0.3288211008493504,4.325534963704264,0.0257537017401847,0.0185970857447052
g5_a100_cap10_s1,2013-01-08,2024-12-31,3016,0.1299816951399826,0.1795527245223458,0.7239193695654894,-0.3307369233301732,4.316901038479549,0.0231636259296409,0.0170272556393134
