comparison,annualized_active_return,tracking_error,information_ratio,annualized_return_difference,sharpe_difference,max_drawdown_improvement,final_wealth_ratio,avg_rebalance_turnover_difference,total_cost_difference
V3_Rolling_Regime_MPC minus EqualWeight_weekly,0.0157300118674665,0.0696682700247896,0.2257844476670574,0.0174953312413466,0.0972871161266093,0.0353345165077416,1.2025589388564248,0.0078062211192522,0.0067465052012452
V3_Rolling_Regime_MPC minus Markowitz_CVXPY_weekly,0.0432924139503076,0.0717866356739398,0.6030706627197988,0.0452284882069631,0.1972984555667201,-0.0093997204346306,1.6205935251690948,-0.0270593196397707,-0.0150793233139012
V3_Rolling_Regime_MPC minus HMM_MPC_CVXPY_weekly,0.035197449561677,0.0683027235420258,0.5153154623478593,0.0370126272586976,0.162406645005262,-0.0079481661235605,1.482355078525189,-0.0046530843864313,-0.0070525330454235
