,V3 minus Equal Weight,V3 minus Markowitz,V3 minus Original HMM-MPC
2013-01-08,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0
2013-01-14,6.880812188558849e-05,-0.00012717193913713842,-0.00033869487044069224
2013-01-15,-0.0005619206984672775,-0.0010535034184915304,-0.0007304839166550892
2013-01-16,-0.0006718550768900489,0.00019300545537159763,-0.0010725743863118087
2013-01-17,-4.8649730725047746e-05,0.0010934440799645895,-0.0009122047977774272
2013-01-18,-0.001391167032845475,-0.0009602939705894986,-0.0017487993915252797
2013-01-22,-0.003163298471525078,-0.0011277201042394491,-0.00043090781649768317
2013-01-23,-0.002287145152657377,0.0007299760017887014,0.00019054727919809444
2013-01-24,-0.0012482628878576207,-0.00020243560377641856,0.00011862494738545948
2013-01-25,-9.774182038579937e-05,0.0007526450668657869,0.0005317568682279283
2013-01-28,-0.00038399503172703575,-0.0009609056584805042,-0.00024313411207099733
2013-01-29,-0.0014070409008020146,-0.0024646776981589458,0.00026429082482937183
2013-01-30,-0.00018234504357761416,-0.004061058475534951,-0.00021517490724365373
2013-01-31,0.00032350735302544287,-0.005642137389904933,0.0001463770091065797
2013-02-01,-0.0005000929556111533,-0.00327880037803574,0.0009157206504188942
2013-02-04,-0.0015736755769799604,-0.005783117224358536,0.00028984685914568153
2013-02-05,-9.00041229086046e-05,-0.003398748207162239,-0.00019905162848932179
2013-02-06,-0.00015031555110489592,-0.004246392416004552,-0.00040597570924361115
2013-02-07,-0.00043402497717082156,-0.007929437381645643,-0.002816913306304958
2013-02-08,6.709951162253702e-05,-0.0035199961673193503,-0.0012439907141716944
2013-02-11,-0.0006611455658385168,-0.00516451554514008,-0.0011685248215751454
2013-02-12,-0.0010077566319330877,-0.004800052626159346,-0.00029635871574384964
2013-02-13,-0.0025340016755410755,-0.00533688311234215,-0.0012741358289780624
2013-02-14,-0.001200052879624769,-0.0013575756962067587,-1.0617944678381619e-05
2013-02-15,0.0007043945324458623,-0.0024509875436213857,-0.000882234502976198
2013-02-19,0.0007776944782589279,-0.004546731080152355,-0.0016077026347862677
2013-02-20,0.00447490562051156,-0.011196530996433252,-0.004662596919448259
2013-02-21,0.005257779670264862,-0.015003141144961374,-0.007482424580961933
2013-02-22,0.0024091990172501188,-0.016064878852579234,-0.007090172471828637
2013-02-25,0.005122949813352484,-0.019957605819953983,-0.009227154995215203
2013-02-26,0.0036583917065031724,-0.017941549612761287,-0.00904954895719201
