Strategy,Annual Return,Annual Volatility,Sharpe,Max Drawdown,Final Wealth,Avg Rebalance Turnover,Total Cost
Equal Weight,0.1264691520435124,0.1623523317597326,0.7789795851572724,-0.3698034177662744,4.159008002751379,0.005772588741297,0.0036136405520519
Markowitz,0.0987359950778958,0.1454206374167112,0.6789682457171616,-0.3250691808239021,3.0861855072278037,0.0406381295003201,0.0254394690671985
Original HMM-MPC,0.1069518560261613,0.1498218804729116,0.7138600562786197,-0.3265207351349722,3.373990700972992,0.0182318942469806,0.0174126787987208
V3 Rolling Regime-MPC,0.143964483284859,0.1642929978668894,0.8762667012838817,-0.3344689012585328,5.001452250484077,0.0135788098605493,0.0103601457532972
