regime,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
calm,0.0041192321051629,0.0226863107622684,0.1149243557731665,0.0440426852600131,0.1693589427868978,0.0885573034228431,0.1225501127910993,0.2159643986008287,0.2177966584977197
stress,5.258657523023709e-09,0.0108617416535779,0.0123312379727854,0.0114507692391437,0.1899797377424649,0.0740096041315593,0.1749767640891496,0.2512607547029297,0.2751293852097317
transition,0.0027840029084918,0.1503208084019905,0.0467855659541079,0.0095705392733151,0.099571649014498,0.1174241140216728,0.1828895576675723,0.2079455074906809,0.1827082552676703
