date,strategy,cost_multiplier,turnover,solver_status,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-11,RawMean_HMMMPC,1.007105684519074,0.11111111111111116,optimal,0.11111111111111113,5.769278706600747e-23,0.14486958567325356,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.1884637476600797,0.11111111111111113
2013-01-18,RawMean_HMMMPC,1.0072843899648196,0.09750502281907873,optimal,0.013606088292032309,3.8394064974000365e-23,0.14486958567325356,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.24001061897799691,0.15706926261227255
2013-01-25,RawMean_HMMMPC,1.0195148195596848,0.013606088292032418,optimal,6.038764109718616e-23,7.96517592912973e-23,0.1448695856732536,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.2536167072700293,0.15706926261227258
2013-02-01,RawMean_HMMMPC,1.01913639588784,1.164115091555909e-09,optimal,1.8178819259979372e-10,1.340291014046909e-10,0.14486958520110058,0.1111111108222064,0.11111111091466502,0.11111111141699986,0.11111111165352018,0.25361670724993446,0.15706926242575614
2013-02-08,RawMean_HMMMPC,1.01871242329456,0.05413093542533562,optimal,1.0537813017946041e-10,7.599215244457733e-11,0.14486958520110058,0.1111111108222064,0.05698017562377645,0.11111111141699986,0.11111111165352018,0.3077476426752701,0.15706926242575614
2013-02-15,RawMean_HMMMPC,1.0184961084266568,0.05698017570097944,optimal,6.127724440588781e-11,4.2890102180632756e-11,0.1448695852011006,0.11111111082220641,2.1919165346254277e-23,0.11111111141699988,0.1111111116535202,0.3647278183762495,0.15706926242575617
2013-02-22,RawMean_HMMMPC,1.0183292844917649,2.976939634644308e-08,optimal,0.0,0.0,0.14486957670395437,0.11111110370701678,0.0,0.11111110787616281,0.1111111082918373,0.3647278481456458,0.15706925527538293
2013-03-01,RawMean_HMMMPC,1.0180666496914548,1.2490013242820936e-16,optimal,0.0,4.285627849252615e-23,0.1448695767039544,0.11111110370701681,4.1459480020744766e-23,0.11111110787616284,0.11111110829183733,0.3647278481456457,0.15706925527538296
2013-03-08,RawMean_HMMMPC,1.0179170155590556,2.775562635485461e-17,optimal,6.934080842245548e-23,6.10536741775817e-23,0.1448695767039544,0.11111110370701681,5.539972729961941e-23,0.11111110787616284,0.11111110829183733,0.36472784814564563,0.15706925527538296
2013-03-15,RawMean_HMMMPC,1.017664528222361,8.606446863212596e-23,optimal,9.654148726321468e-24,4.011123909083206e-24,0.1448695767039544,0.11111110370701681,0.0,0.11111110787616284,0.11111110829183733,0.36472784814564563,0.15706925527538296
2013-03-22,RawMean_HMMMPC,1.0175611177481807,3.1170497091067124e-23,optimal,0.0,0.0,0.1448695767039544,0.11111110370701681,4.8675721546729576e-23,0.11111110787616284,0.11111110829183733,0.36472784814564563,0.15706925527538296
2013-03-28,RawMean_HMMMPC,1.0225786305388365,2.4337860773364788e-23,optimal,0.0,0.0,0.1448695767039544,0.11111110370701681,0.0,0.11111110787616284,0.11111110829183733,0.36472784814564563,0.15706925527538296
2013-04-05,RawMean_HMMMPC,1.0191173631207615,0.10192635778307126,optimal,7.560964784191536e-24,0.0,0.1448695767039544,0.009184745923945543,0.0,0.11111110787616284,0.11111110829183733,0.46665420592871687,0.15706925527538296
2013-04-12,RawMean_HMMMPC,1.0282865376848604,1.6551522192750949e-09,optimal,0.0,0.0,0.14486957716613313,0.009184744462077397,0.0,0.11111110781140975,0.11111110816330642,0.46665420669552315,0.15706925570155023
2013-04-19,RawMean_HMMMPC,1.0167781997053231,0.009184744462077371,optimal,0.0,0.0,0.14486957716613313,0.0,0.0,0.11111110781140975,0.11111110816330642,0.4758389511576005,0.15706925570155023
2013-04-26,RawMean_HMMMPC,1.0129239654974012,0.0,optimal,0.0,0.0,0.14486957716613313,0.0,0.0,0.11111110781140975,0.11111110816330642,0.4758389511576005,0.15706925570155023
2013-05-03,RawMean_HMMMPC,1.0170311637183689,5.251249850060496e-23,optimal,4.0572540506688133e-23,2.446708235771628e-23,0.14486957716613313,3.035741733829792e-23,9.627956798507591e-24,0.11111110781140975,0.11111110816330642,0.4758389511576005,0.15706925570155023
2013-05-10,RawMean_HMMMPC,1.0085682828445095,2.7984302018030377e-07,optimal,0.0,0.0,0.14486946279140372,0.0,0.0,0.11111107169017513,0.11111106865641929,0.4758392310006207,0.15706916586138123
2013-05-17,RawMean_HMMMPC,1.009926727220141,1.1443381337482103e-09,optimal,2.549967222870612e-11,3.1419490195186044e-11,0.14486946260154215,4.86786941145487e-10,6.00631998034386e-10,0.11111107158143374,0.11111106863156686,0.4758392303812549,0.15706916565986423
2013-05-24,RawMean_HMMMPC,1.009564953886113,0.11111110246598739,optimal,0.0,0.0,0.25598056506752953,0.0,0.0,0.11111106300802219,0.0,0.47583921418084835,0.15706915774359992
2013-05-31,RawMean_HMMMPC,1.0094030455352088,2.775557600141363e-17,optimal,0.0,0.0,0.2559805650675296,0.0,7.715694316311649e-25,0.11111106300802219,0.0,0.47583921418084835,0.15706915774359992
2013-06-07,RawMean_HMMMPC,1.4801174110302526,1.5933655594164831e-09,optimal,0.0,0.0,0.2559805646475792,1.444273687745688e-10,3.8527892437318565e-10,0.11111106286164502,1.0636592056845376e-09,0.4758392134077469,0.15706915748966335
2013-06-14,RawMean_HMMMPC,1.480965744161144,1.2105555146993484e-09,optimal,3.196430290359504e-11,0.0,0.2559805643250207,3.086731912370427e-10,6.916848556478935e-10,0.11111106279364243,1.7715987864030547e-09,0.47583921275415814,0.15706915732325777
2013-06-21,RawMean_HMMMPC,1.4813132863753662,8.858223654406988e-10,optimal,1.1355777466959104e-10,0.0,0.25598056408516245,4.455645210238209e-10,9.43022996540194e-10,0.11111106278888803,2.1875981316642335e-09,0.4758392122070448,0.15706915722916132
