,net_return,turnover,cost,wealth
2013-01-08,-0.002739361025400955,0.0,0.0,0.997260638974599
2013-01-09,0.003148443821219926,0.0,0.0,1.0004004580715244
2013-01-10,0.006520210464479037,0.0,0.0,1.006923279606912
2013-01-11,0.00014271423896450308,0.0,0.0,1.0070669818964568
2013-01-14,5.734179710015219e-05,0.1,0.00010071056845188276,1.007124728926999
2013-01-15,0.0018666320996327812,0.0,0.0,1.009004660274348
2013-01-16,-0.0016311620543874028,0.0,0.0,1.0073588101598085
2013-01-17,0.006538148041931313,0.0,0.0,1.013945071191977
2013-01-18,0.004090797569679339,0.0,0.0,1.0180929152249976
2013-01-22,0.0039317613565412746,0.10000000000000002,0.00010072843899643052,1.0220958136064477
2013-01-23,0.00046741244978476537,0.0,0.0,1.0225735539146004
2013-01-24,0.002565151181624259,0.0,0.0,1.025196609674722
2013-01-25,0.005372710568902983,0.0,0.0,1.030704694334725
2013-01-28,-0.0009981258345964639,0.027846276322165617,2.838968759989656e-05,1.0296759213514695
2013-01-29,0.004513459441738865,0.0,0.0,1.0343233218606245
2013-01-30,-0.002809882105987316,0.0,0.0,1.031416995266723
2013-01-31,-0.0011496500941170495,0.0,0.0,1.0302312266210407
2013-02-01,0.008020200377440334,0.0,0.0,1.0384938874936376
2013-02-04,-0.010121091056375264,0.006719056125946681,6.847634586641973e-06,1.0279831962968253
2013-02-05,0.009597507814463668,0.0,0.0,1.0378492730564215
2013-02-06,0.0012093644647614976,0.0,0.0,1.0391044110870344
2013-02-07,0.00031140122979889107,0.0,0.0,1.0394279894785363
2013-02-08,0.003403584121147718,0.0,0.0,1.042965770078602
2013-02-11,0.0003445091594926897,6.75721616990885e-10,6.82043811454094e-13,1.0433250813394312
2013-02-12,0.0016519452445487026,0.0,0.0,1.0450485972460684
2013-02-13,0.0006529387795612962,0.0,0.0,1.0457309500017364
2013-02-14,-0.00018571435701997263,0.0,0.0,1.045536742750741
2013-02-15,0.0006566411623483148,0.0,0.0,1.0462232852127786
2013-02-19,0.007859208721761712,2.0713369938063914e-10,2.090492830619185e-13,1.0544457723808331
2013-02-20,-0.007910455704785657,0.0,0.0,1.0461046258053162
2013-02-21,-0.004011732685028968,0.0,0.0,1.0419079336860129
2013-02-22,0.007886050253410382,0.0,0.0,1.0501244720104876
2013-02-25,-0.01480230564954299,0.03636439359914401,3.669766025696862e-05,1.0345802086057234
