date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-08,0.1115895407195649,0.11105115686303889,0.11108883936036039,0.11055819109299606,0.11100027362382747,0.11110309556951858,0.11107001054337937,0.11144346514464165,0.11109542708267277
2013-01-09,0.11195884773322458,0.11052056957992307,0.1106095498495592,0.11132329555463862,0.11084037780382948,0.11100420714322405,0.11050168842134502,0.11231192595698845,0.11092953795726765
2013-01-10,0.11171969516802582,0.11079927729072056,0.11125533417970081,0.11114043928287479,0.1106842178799296,0.1109365871185553,0.11025361011235173,0.11236425099968733,0.11084658796815397
2013-01-11,0.11153220584161291,0.1109191071312262,0.11097999564865929,0.11072796663276122,0.11081820902138813,0.11141703887330646,0.11036254800869637,0.11232136258935121,0.11092156625299829
2013-01-14,0.07118406931313609,0.05127313897802211,0.11063821483682056,0.11113526925109728,0.11008924145692393,0.18097616609194989,0.11012693732604253,0.1434006441172755,0.11117631862873223
2013-01-15,0.07112425256513676,0.051407019136885924,0.11088518034544846,0.11123919642653061,0.10917401716079146,0.1811905596197956,0.1102328504885586,0.14296224698357213,0.11178467727328044
2013-01-16,0.07072977151391797,0.05172077685918966,0.11113120014143656,0.11096791787562822,0.10972674325444957,0.1812354831205425,0.10988316471929453,0.14288723090590608,0.11171771160963484
2013-01-17,0.07081394797583847,0.051709945986004875,0.11034489628949078,0.11142859282915497,0.10946029779219965,0.1812556856083195,0.10960286515789674,0.1432196135864951,0.11216415477459982
2013-01-18,0.07099466851460078,0.052009099312668526,0.11002365514034491,0.11187119515656394,0.10886617744192462,0.18126245388813428,0.11001975626667064,0.14311113129308994,0.11184186298600239
2013-01-22,0.015355504719793469,0.007776238836823298,0.11060406141062214,0.11186831003705715,0.10872404253915928,0.22972825249961906,0.148273683260349,0.15598658353968092,0.1116833231568957
2013-01-23,0.015263318093962147,0.0077460868099461485,0.11048851619712093,0.11184395560106751,0.10981641705258229,0.22955797851909596,0.14783373419246695,0.1557294476068473,0.11172054592691083
2013-01-24,0.015270509739500162,0.0077486495666247174,0.11077914797196883,0.11222546880529742,0.10765958917982205,0.22959835087962713,0.14811289872768088,0.15632361806249906,0.11228176706697982
2013-01-25,0.015242583008849555,0.007780091607733702,0.11069404856587052,0.11198539903313888,0.10719399891861393,0.22949511795425734,0.14805687601171547,0.1566950201019939,0.11285686479782682
2013-01-28,2.4007995885137693e-09,2.4456867016127117e-09,0.11035753939848518,0.10734536437692276,0.10766424313687911,0.24373646244211922,0.16216457694584124,0.15629806539940522,0.11243374345386102
