,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_CVXPY_weekly,V2_HMM_MPC
2013-01-08,-0.0027393610254009,-0.0027393610254009,-0.0027393610254009,-0.002739361025400955
2013-01-09,0.0031484438212199,0.0031484438212199,0.0031484438212199,0.003148443821219926
2013-01-10,0.006520210464479,0.006520210464479,0.006520210464479,0.006520210464479037
2013-01-11,0.0001427142389645,0.0001427142389645,0.0001427142389645,0.00014271423896450308
2013-01-14,-7.039964160271417e-05,0.0001242051508745,0.0003342437432483,5.734179710015219e-05
2013-01-15,0.002005648992668,0.002298750578856,0.0017676539279058,0.0018666320996327812
2013-01-16,-0.0014886441743604,-0.0028315878022843,-0.0012583522293803,-0.0016311620543874028
2013-01-17,0.0064888409207439,0.0062190136231101,0.0069454625792582,0.006538148041931313
2013-01-18,0.0045668561423322,0.0052741619155869,0.0040644825298619,0.004090797569679339
2013-01-22,0.0054840257238439,0.0039104042112407,0.0024498127236338,0.0039317613565412746
2013-01-23,-0.0002210016160202,-0.0011816362637983,2.773583225890164e-05,0.00046741244978476537
2013-01-24,0.002334855877466,0.0042724556428741,0.003427874853249,0.002565151181624259
2013-01-25,0.0055662624491172,0.0057625411496122,0.0062930421976885,0.005372710568902983
2013-01-28,-0.0021195604915248,-0.0007373244900118,-0.0016471462187818,-0.0009981258345964639
2013-01-29,0.0053894839396271,0.0058529484877636,0.0039040649240602,0.004513459441738865
2013-01-30,-0.003685419520524,-0.0009601036234608,-0.0020429950729723,-0.002809882105987316
2013-01-31,-0.0023513428711003,-0.0003272919306409,-0.0022114049534682,-0.0011496500941170495
2013-02-01,0.0089198827359919,0.0057900091745783,0.0073709667181696,0.008020200377440334
2013-02-04,-0.0102092951734578,-0.0088079657249302,-0.0106549543407399,-0.010121091056375264
2013-02-05,0.0089604193205332,0.0080511513284233,0.0108993080539854,0.009597507814463668
2013-02-06,0.0010638859591791,0.0018172870327481,0.0012051330058475,0.0012093644647614976
2013-02-07,-0.0012326837736686,0.0020336764141513,0.0008161515853881,0.00031140122979889107
2013-02-08,0.0049486582235032,0.001170891372016,0.0039060061447382,0.003403584121147718
2013-02-11,-0.0003786906367605,0.0004989238673702,-0.0011485525170128,0.0003445091594926897
2013-02-12,0.0020353590220831,0.0013468724127931,0.0008648560222139,0.0016519452445487026
2013-02-13,0.0013837114506618,0.0004341801923906,0.0008588121053041,0.0006529387795612962
2013-02-14,0.0004422397287429,-0.0020831780021878,0.0005102410773876,-0.00018571435701997263
2013-02-15,-0.0010578955888326,0.0018088308726724,0.0015988083875269,0.0006566411623483148
2013-02-19,0.0066249263937965,0.0086752785586319,0.0073784285618521,0.007859208721761712
2013-02-20,-0.0128886251896326,-0.0030326314581619,-0.0064523240781162,-0.007910455704785657
2013-02-21,-0.0059316601977246,-0.0014873323382732,-0.0024390606896382,-0.004011732685028968
2013-02-22,0.0091228101653322,0.0072486079978639,0.0059087425999588,0.007886050253410382
2013-02-25,-0.0177842192076279,-0.0112394933051881,-0.0130065863211734,-0.01480230564954299
2013-02-26,0.0061496742661366,0.0026803969857625,0.0044809951371371,0.00424595359235691
2013-02-27,0.0131779984810669,0.0088383487203116,0.0104575710029675,0.011337239843422608
2013-02-28,0.000262364935105,0.0010207400394972,0.0013133159976406,0.0004026071341844961
2013-03-01,0.0022044142733863,0.0036151270174913,0.0038615445303389,0.0031528167992891376
2013-03-04,0.0045205736966065,0.0081805795459963,0.0077454988315064,0.006692040373098118
2013-03-05,0.0085477897914363,0.0051875144208732,0.006523576584519,0.007496328396419116
2013-03-06,0.0015900217098634,-0.0007342453772859,-0.0007504123717936,0.00042424003968544177
2013-03-07,0.0016429764705137,-0.0019260255061224,-0.0002126005571437,0.0001646978297571433
2013-03-08,0.0048265519158983,0.0019303857947068,0.0041702737986024,0.0036945402642569736
2013-03-11,0.0033789239096093,0.0023944980058703,0.0024718146722964,0.003415013637539266
2013-03-12,-0.0016595729936892,-0.0005685390328914,-0.0004911343659687,-0.0010819019895108584
2013-03-13,0.001648353561835,0.0028664540412683,0.003058468348593,0.0028769146036784488
2013-03-14,0.0050795858322105,0.0023578458191564,0.0020798465901363,0.002759280931032393
