Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SHY
2010-04-15,15055000,27894400,101626682,6788800,18980400,3876300,9531400,5119600,13446600,1206300
2010-04-16,33745200,73328400,468533372,26511600,30402400,6525100,15365200,8928300,24210800,801800
2010-04-19,22585800,42298200,319699563,16021200,17533600,4791100,10571000,11270000,18600600,661300
2010-04-20,11610600,39333200,151176894,13103000,13887000,5377800,7268200,5741100,18688600,895200
2010-04-21,22064000,37143200,210131946,19373000,18800600,5605500,10072800,13931400,22586400,648500
2010-04-22,11843000,21374000,123733596,11770200,8321000,2422800,4094800,4291800,6724400,169300
2010-04-23,19692000,52021800,109054906,15681200,25740400,4651200,8979600,10974900,12308200,658300
2010-04-26,14050200,34525600,128910443,13312200,19625800,4452200,11291000,7321500,15200200,545600
2010-04-27,32078200,82804800,289883143,31528700,56498000,8249300,12714400,10692000,34413600,1530800
2010-04-28,32075400,46190000,194917032,17520400,25521400,5162100,13879400,10333300,21214200,1269900
2010-04-29,20038000,57721400,153177515,14211400,18107200,4095500,6558000,10236400,16949000,421600
2010-04-30,21881800,45833000,206146707,18401800,21095200,7474600,9983000,12506600,21522600,517300
2010-05-03,22380400,33379800,110817944,16977700,13769000,3372800,11307400,5629700,15865200,494900
2010-05-04,53974000,61168800,195182313,24814700,29680600,12393300,18681600,14483400,31579600,1219600
2010-05-05,35206400,70413000,227201362,28450700,26930000,9048500,18379000,9627700,52681800,1777200
2010-05-06,54860000,94401400,385070710,52085700,51044800,11302200,36348600,21647700,61745800,1864500
2010-05-07,54676800,98981800,434082852,48211400,50444200,10845600,35338200,18182100,59363800,3637100
2010-05-10,36074800,59433800,220172844,28537400,46776400,8008800,19012200,13168100,32851600,1349100
2010-05-11,28765400,45673200,149938016,21220600,25730000,5904600,14452200,8829300,25128600,709400
2010-05-12,25864600,37616200,108045855,23705400,23624200,6882700,10453800,6115800,20669200,734200
2010-05-13,26685000,42234600,117497842,15827900,22879600,3342300,14102600,6872600,20900600,992800
2010-05-14,40467000,56791400,185612150,24135200,32993200,7363700,15085400,13544100,28417600,1110500
2010-05-17,37565800,63878600,215164644,30408700,29975200,7124200,16954600,11950000,26881800,1433400
2010-05-18,46798000,61329800,245298293,33891300,45030400,8626600,15573400,11648200,31547000,764200
2010-05-19,47500400,60211200,282446426,42144400,53445200,11727400,17104800,12608800,30801800,3042700
2010-05-20,55258000,89767600,264759910,44338900,39636800,18459000,22447800,15946600,37065000,4210900
2010-05-21,39010400,80312000,256736868,39374700,42044000,11228500,19750800,16465100,39212800,2753800
2010-05-24,27133600,54698400,132667948,24343600,25923400,6136100,13608400,10310900,28109600,1095600
2010-05-25,37643200,86228000,202843441,30028300,36575800,15939800,27062600,16411700,28373400,1777400
2010-05-26,26874600,59695200,153920670,29128700,48645200,7444000,15142600,12620400,26672800,1238600
2010-05-27,29382800,60610400,150171413,21078000,38243400,12368000,10844800,9438500,21461000,1114900
2010-05-28,29481800,52657400,156946837,25026100,24232600,7409900,14656800,13301500,22551200,751200
2010-06-01,31542200,72695200,102271849,27979600,26467000,10514700,21627200,11633700,21865800,1439300
2010-06-02,17503600,55296400,97060780,20844100,20760000,7420600,12254000,10510200,15747800,2091500
2010-06-03,25279400,67379800,126116689,21686700,25170000,5494200,13973800,8442500,15779400,1095300
2010-06-04,30713800,59718800,146914680,26172400,36989000,9125300,17779200,11034700,30449800,1429300
2010-06-07,25021000,48249600,128171597,30321200,21086400,9533900,15210600,9478700,23859800,1553900
2010-06-08,43670000,70188800,180966602,34376900,26650400,9553000,22054000,10571000,27551800,1050800
2010-06-09,27666000,61359800,153438734,30023200,26627000,8617100,12348400,8428600,24687800,569400
2010-06-10,21597200,51986800,138725329,23492500,28425600,8597800,12381600,6967900,20529800,656900
2010-06-11,15956800,30326200,66406172,14729700,21450600,6023400,12052200,7042100,15432000,705200
2010-06-14,18202200,47629000,111620925,18225100,26047600,5604600,10818000,6416400,13794600,694000
2010-06-15,14109600,34142400,124529437,17459700,23053600,5392500,9565200,4921200,13892200,1212700
2010-06-16,12730400,28992600,76874719,15416900,15507600,3648800,12673000,5576900,14940800,1467000
2010-06-17,27380000,34826000,88713985,22397500,19837200,6245100,14704000,5710800,20803000,1394200
2010-06-18,18895800,27196400,82191162,16529300,14238600,7709400,9589400,6962900,15347200,592000
2010-06-21,24144400,33251400,105541262,17337100,17484400,5379600,12426600,7458600,17667800,1900900
2010-06-22,23686600,43145200,102404305,17664300,20366800,7044200,21313400,7226400,19324400,2290200
2010-06-23,21678400,35639200,147406957,19311200,18819600,6769800,24847000,6431100,24974600,2075700
2010-06-24,31521600,33908000,180425454,17170800,30528200,4779800,14830200,10192000,22128800,819200
2010-06-25,22616200,40874800,174342222,18163500,31331000,10611300,7795400,8439200,24836400,959000
2010-06-28,25772000,31908800,97958795,11263100,20527200,7855100,12941400,6556200,14020600,662000
2010-06-29,34058800,44985200,190216582,31116800,39667200,10234200,17480800,15076600,37547600,1043400
2010-06-30,21027200,33385600,152587990,25416200,25000000,6563600,12950200,9503400,22985200,1304200
2010-07-01,32910000,51605200,164533121,26089500,45810800,9774300,19978200,23346200,31249400,1760800
2010-07-02,19334000,22839200,82338882,15578900,17022000,4874600,12074400,10103400,13910200,565500
2010-07-06,20142200,34598000,131649787,16259000,30672400,6910800,17568600,11667300,23608600,1365300
2010-07-07,23703000,37817400,135275082,17141500,25780600,6495100,14888200,8794500,25911200,1024600
2010-07-08,17861600,29743000,99375306,17010400,17332800,6357800,12771200,7165200,15888200,1074300
2010-07-09,18889400,18225800,99814035,12659400,15716400,6894900,14533400,4261600,10611400,614300
2010-07-12,18878000,16413800,67070912,14684600,17427200,3786300,8277400,5026200,13791400,1013900
2010-07-13,21410000,28330200,103837681,15580100,20582000,6162300,17669000,5439300,21130800,1374000
2010-07-14,17277600,23880200,95201847,15997600,24766800,4597100,12643000,5958300,16298800,1081800
2010-07-15,16560000,29824600,118284082,23101600,24839000,4122900,15523800,4594500,19851000,540700
2010-07-16,24858200,36261600,174393677,21563500,30216200,7828300,16470400,9790100,20785000,812400
2010-07-19,15230000,25082600,87813508,17957000,14704600,6491700,13888600,5391900,10422600,529600
2010-07-20,21015200,33496400,113625609,17312400,31219600,7287700,13489000,8178400,21192400,1246900
2010-07-21,18758000,45027600,126180578,31327200,33310200,11398300,13232600,14343400,19769200,676700
2010-07-22,32511200,45984400,103468874,24158500,23437600,7042900,11061800,10500800,20877200,591800
2010-07-23,29360800,36051600,85939803,25468500,20772800,10102900,14276200,8858800,16531400,1075600
2010-07-26,14990400,23881600,97582109,17556400,13152600,8753200,10119600,10261500,18001600,2052000
2010-07-27,18349800,32817800,114958905,14145200,15588400,19712600,43369400,6225700,21536200,1320300
2010-07-28,21062400,21551400,60830850,15190500,26353400,7194100,16131000,9662900,10320200,1274700
2010-07-29,16919000,29114600,86025234,17623300,21295400,11052600,16620400,10540100,14975000,2207900
2010-07-30,17515800,23632200,72789892,17135700,17912400,7389100,18165000,7539400,15494000,1064400
2010-08-02,32952200,55158000,120011913,15965800,31420600,7790300,15250200,11733200,18389600,1174200
2010-08-03,19108400,28509000,81845251,11147100,10787400,7104100,8486600,10266000,13878800,1444300
2010-08-04,11268000,26215400,82030516,9579300,29363200,4452500,10249600,9458100,14175200,1962200
2010-08-05,14066400,17817400,50578959,20032500,10129600,18512500,7330600,4285100,12509800,1559300
2010-08-06,17375600,36234800,101926554,13396300,31234200,8372000,12657000,8894200,12817200,941200
2010-08-09,12162000,13428400,49583449,8554800,27105600,3650800,9402200,4061700,12502600,1120200
2010-08-10,25438800,24521000,81174971,15325000,22578600,7497000,18455400,8692600,16105000,1465900
2010-08-11,35147200,37659400,117411918,33035000,36123000,9337600,19026000,13216600,15123000,748700
2010-08-12,23048000,30510800,88825636,16303800,30331600,6401100,12927800,9553700,16404400,1556800
2010-08-13,12365600,18199400,64041298,8189100,12157600,4435400,11767000,4340300,11725800,427900
2010-08-16,13065000,20571400,68304497,10913000,20537200,5077000,16903000,4641300,10934000,652100
2010-08-17,23946400,36034800,79810039,17148200,34201200,5242400,13938200,7183200,11798800,794000
2010-08-18,19570600,37387800,68372325,9109800,25232200,5379400,41010200,4410100,12524000,838100
2010-08-19,25495800,32998200,124471211,19386600,27622200,7941200,20176600,8736200,15809000,756200
2010-08-20,27923600,24849400,81137426,13057800,18632800,5856400,16249400,5606200,12997600,703700
2010-08-23,18899200,16351600,66239371,15057000,16367400,4149900,11017400,6570800,12799800,527800
2010-08-24,29745800,29477600,116123431,26300800,21180600,8426800,27474800,12112600,24562000,1533700
2010-08-25,25560800,38673400,90747843,31736800,22105800,6542800,21369800,10713000,14923200,1168600
2010-08-26,14956000,21953600,88256545,19824100,20309400,7530700,13720800,6566000,12548800,724400
2010-08-27,20732800,39417400,107590139,19744200,29983400,9874400,19852400,7200700,21005800,904100
2010-08-30,10128800,18313200,78521797,15607300,15187000,8007800,16778600,5835000,14036000,726800
2010-08-31,19130600,35157400,131233463,20418200,31040000,12423300,17872800,8756200,14879800,938600
2010-09-01,24058400,38265800,163002496,31329300,29596200,9661500,16499800,10345200,16659600,2009100
2010-09-02,12309200,19697400,82205072,13831600,18613000,6034900,12004000,6003300,19466000,1251400
2010-09-03,15619200,26494200,108976122,15635200,20718000,5839700,10712400,6604700,15829600,892600
2010-09-07,12186000,22814000,69632992,15112700,15678800,6444100,9845600,3954000,10168400,1104000
2010-09-08,10036400,18584400,63465559,12996100,18581600,5733200,9777800,6850700,8764000,1677100
2010-09-09,9445800,15673400,100214233,10075600,13895200,4962900,10796400,6305700,10095800,1291500
2010-09-10,11261800,15190600,48934712,10923700,16300600,4003400,12463400,5453100,10800000,1096200
2010-09-13,24126600,18263200,93892679,12911800,23197400,5254000,9892000,5947100,8309400,522000
2010-09-14,17105400,27955800,81324661,14376800,18854400,8514700,10363000,8386700,12989000,968100
2010-09-15,12888600,28226000,91766372,14647100,14763400,6451300,11759800,4894200,11513600,664400
2010-09-16,25727400,33517600,65492647,17618900,15599600,6884700,10643400,4913900,13505000,730900
