Date,mom_21,mom_63,drawdown_63,rv_21,rv_63,amihud_log,vix_log,vix_change_21,hy_spread,hy_spread_change_21
2010-04-08,0.036138496785906415,0.043742081255575105,-0.0038864326675964733,0.07737311666333353,0.1405228101733379,4.925528437623213e-12,2.8021475244813256,-0.08376988306545874,5.7,-0.5300000000000002
2010-04-09,0.03920148709400184,0.046561380371311856,0.0,0.07867097891550294,0.14083257323490805,1.7211642310874455e-11,2.7813006628418027,-0.14024671252281173,5.68,-0.4800000000000004
2010-04-12,0.035798346235668355,0.042996517120943434,0.0,0.07820662772545933,0.14062842040473716,3.122418701547127e-12,2.7459880404426023,-0.1477115075462372,5.68,-0.47000000000000064
2010-04-13,0.035693639778915376,0.039936538390521026,-0.00031904001010973904,0.07824004495099576,0.14058275480161792,8.652855386081487e-13,2.785011242238338,-0.08175065001869264,5.66,-0.4500000000000002
2010-04-14,0.04291955499794531,0.05694591468261612,0.0,0.0812897980089804,0.14002375225520006,1.5683466435432568e-11,2.7466296830696852,-0.14374207482647927,5.57,-0.5499999999999998
2010-04-15,0.035593479171540654,0.049488639375316446,0.0,0.07763210590770857,0.13910723280181517,3.3315011285677196e-12,2.7656899805486246,-0.10730952762306956,5.52,-0.6400000000000006
2010-04-16,0.017177290930282307,0.03489526519718433,-0.013772043815397872,0.09349850597542533,0.14213767866557883,1.0967458284610773e-11,2.9101743851923443,0.08226922228185529,5.57,-0.54
2010-04-19,0.020749069136052345,0.047310465587142136,-0.01088921426887779,0.09360214659372126,0.1407308439546724,3.449155642777564e-12,2.853015971352396,0.0424091819250938,5.59,-0.4299999999999997
2010-04-20,0.03446647600819874,0.042451287339421384,-0.0020994473570932204,0.09485514672948704,0.13921929717831585,1.6637573431106293e-11,2.7555697170701863,-0.07587736217594854,5.54,-0.4400000000000004
2010-04-21,0.02768188175305486,0.05247411609678121,-0.004095303830860653,0.09494616563226756,0.13694366214403597,2.837992825996003e-12,2.792391349535961,-0.033145547021915966,5.55,-0.46999999999999975
2010-04-22,0.023759435301419884,0.07725381167366097,-0.000664264947403459,0.09273554015183406,0.12952668785126467,9.104094787889176e-12,2.8015405441895487,0.007312646846286075,5.5,-0.5
2010-04-23,0.03741509289974765,0.10228900502709726,0.0,0.09078143171789267,0.12422367219044711,1.2798916532225194e-11,2.810606789427302,-0.054447160484572876,5.44,-0.40999999999999925
2010-04-26,0.039331110458272533,0.09509987471138581,-0.002375925456517547,0.0893992717238583,0.12431196736328849,4.730735941098464e-12,2.8604851241459652,-0.051865540468974736,5.42,-0.3600000000000003
2010-04-27,0.015311406430928098,0.07625199681683359,-0.025870346056195537,0.12558809827053377,0.13348299010121817,2.1587831346918264e-11,3.1271990362962967,0.24968739412973662,5.55,-0.25
2010-04-28,0.013986955099280163,0.0807794480178301,-0.01877230804470753,0.12461645947559401,0.1339986923817372,1.020334355198895e-11,3.0483247236731614,0.1809941649236948,5.51,-0.28000000000000025
2010-04-29,0.025830931845550076,0.10279914790208888,-0.0066606199575151015,0.13096745986825653,0.13388242557336963,1.954744110297792e-11,2.914522218128448,0.07369090579241933,5.54,-0.22999999999999954
2010-04-30,0.013546370929945262,0.09720805740374328,-0.02190994191448359,0.1424536749334361,0.13624415757167163,2.153283939026526e-11,3.093312601892855,0.22598204314338854,5.61,-0.22999999999999954
2010-05-03,0.016481513161796357,0.09320132978710349,-0.010459217625256922,0.1449161073513478,0.13475899415732798,2.4357550329336947e-11,3.005187432324746,0.14470230817878083,5.57,-0.25
2010-05-04,-0.013313607501706848,0.056529486543662966,-0.032637041856291904,0.16363148571955227,0.14056035866128525,2.5264918923644823e-11,3.171364842197149,0.3369757190519209,5.68,0.02999999999999936
2010-05-05,-0.02094500158138901,0.05765646055222362,-0.038882103823951186,0.1647332100898857,0.1403025177625494,6.844764940022664e-12,3.215269329274089,0.4284079477475893,5.91,0.2599999999999998
2010-05-06,-0.04688801958463129,0.05642985261539879,-0.06903691406128676,0.19520180820399402,0.14139093065646444,2.1804296667548057e-11,3.490428515390098,0.6798217259627957,6.26,0.54
2010-05-07,-0.0639910706507214,0.040045765084605556,-0.08295457402128992,0.199424448290497,0.14491147863833614,1.0200916847743628e-11,3.7123518102990785,0.9102042858177528,6.47,0.7699999999999996
2010-05-10,-0.028403696485796104,0.09007169030910678,-0.044070532800890794,0.2527922079409477,0.16603876146300267,4.7445677819950286e-11,3.3617633124167483,0.5804626495749456,6.25,0.5700000000000003
2010-05-11,-0.03276764767095086,0.07229649749963851,-0.04733837867948587,0.2527713967391246,0.16420186732013003,5.366210183637713e-12,3.343568268825519,0.5975802283829168,6.34,0.6600000000000001
2010-05-12,-0.01820097621564276,0.08958219345625595,-0.03366810256872155,0.25862967969342116,0.16604998783601949,2.6612755005182842e-11,3.239462458476589,0.454451216238251,6.18,0.5199999999999996
2010-05-13,-0.03879234925230879,0.06633849156792371,-0.04562429765568332,0.2594986509444639,0.16721284205688478,2.330514795901417e-11,3.283914221047423,0.5372845379777376,6.14,0.5699999999999994
2010-05-14,-0.0575715334346949,0.050805121561968924,-0.062129486054176675,0.26470846291323813,0.17112644770503121,2.2316332501300318e-11,3.441699324971485,0.6760093444228605,6.33,0.8100000000000005
