Date,mom_21,mom_63,drawdown_63,rv_21,rv_63,amihud_log,vix_log,vix_change_21,hy_spread,hy_spread_change_21
2010-04-07,0.034858238516908724,0.046791763959302735,-0.005916863586815202,0.07743606787255271,0.1407718083062696,2.7430306440239427e-11,2.810606789427302,-0.06802971225044141,5.72,-0.5499999999999998
2010-04-08,0.036138496785906415,0.043742081255575105,-0.0038864326675964733,0.07737311666333353,0.1405228101733378,1.8135202644732058e-11,2.8021475244813256,-0.08376988306545874,5.7,-0.5300000000000002
2010-04-09,0.03920148709400184,0.046561380371311856,0.0,0.07867097891550294,0.14083257323490794,3.174423875816423e-11,2.7813006628418027,-0.14024671252281173,5.68,-0.4800000000000004
2010-04-12,0.035798346235668355,0.042996517120943434,0.0,0.07820662772545933,0.14062842040473705,1.3554718344613073e-11,2.7459880404426023,-0.1477115075462372,5.68,-0.47000000000000064
2010-04-13,0.035693639778915376,0.03993653839052147,-0.00031904001010973904,0.07824004495099576,0.14058275480161783,1.6466859401459562e-11,2.785011242238338,-0.08175065001869264,5.66,-0.4500000000000002
2010-04-14,0.04291955499794531,0.05694591468261612,0.0,0.0812897980089804,0.14002375225520003,2.7661234252762397e-11,2.7466296830696852,-0.14374207482647927,5.57,-0.5499999999999998
2010-04-15,0.035593479171540654,0.049488639375316446,0.0,0.07763210590770857,0.13910723280181514,1.3451591594005037e-11,2.7656899805486246,-0.10730952762306956,5.52,-0.6400000000000006
2010-04-16,0.017177290930282307,0.03489526519718433,-0.013772043815397872,0.09349850597542533,0.1421376786655788,2.5141783597493512e-11,2.9101743851923443,0.08226922228185529,5.57,-0.54
2010-04-19,0.020749069136052345,0.047310465587142136,-0.01088921426887779,0.09360214659372126,0.1407308439546724,9.101236827703758e-12,2.853015971352396,0.0424091819250938,5.59,-0.4299999999999997
2010-04-20,0.03446647600819874,0.042451287339421384,-0.0020994473570932204,0.09485514672948704,0.13921929717831583,3.1461973607046644e-11,2.7555697170701863,-0.07587736217594854,5.54,-0.4400000000000004
2010-04-21,0.02768188175305486,0.05247411609678121,-0.004095303830860653,0.09494616563226756,0.13694366214403594,9.786463409708391e-12,2.792391349535961,-0.033145547021915966,5.55,-0.46999999999999975
2010-04-22,0.023759435301419884,0.07725381167366097,-0.000664264947403459,0.09273554015183406,0.12952668785126464,4.370777270156015e-11,2.8015405441895487,0.007312646846286075,5.5,-0.5
2010-04-23,0.03741509289974765,0.10228900502709726,0.0,0.09078143171789267,0.12422367219044708,1.9118564443213188e-11,2.810606789427302,-0.054447160484572876,5.44,-0.40999999999999925
2010-04-26,0.039331110458272533,0.09509987471138581,-0.002375925456517547,0.0893992717238583,0.12431196736328846,1.696262740626815e-11,2.8604851241459652,-0.051865540468974736,5.42,-0.3600000000000003
2010-04-27,0.015311406430928098,0.07625199681683359,-0.025870346056195537,0.12558809827053377,0.13348299010121814,4.35132564638794e-11,3.1271990362962967,0.24968739412973662,5.55,-0.25
2010-04-28,0.013986955099280163,0.0807794480178301,-0.01877230804470753,0.12461645947559401,0.13399869238173717,2.1344973991578496e-11,3.0483247236731614,0.1809941649236948,5.51,-0.28000000000000025
2010-04-29,0.025830931845550076,0.10279914790208888,-0.0066606199575151015,0.13096745986825653,0.1338824255733696,3.18956791674369e-11,2.914522218128448,0.07369090579241933,5.54,-0.22999999999999954
2010-04-30,0.013546370929945262,0.09720805740374328,-0.02190994191448359,0.1424536749334361,0.13624415757167158,3.6917774721609394e-11,3.093312601892855,0.22598204314338854,5.61,-0.22999999999999954
2010-05-03,0.016481513161796357,0.09320132978710349,-0.010459217625256922,0.1449161073513478,0.13475899415732795,4.2150539911268994e-11,3.005187432324746,0.14470230817878083,5.57,-0.25
2010-05-04,-0.013313607501706848,0.056529486543662966,-0.032637041856291904,0.16363148571955227,0.14056035866128522,3.8377553386743523e-11,3.171364842197149,0.3369757190519209,5.68,0.02999999999999936
2010-05-05,-0.02094500158138901,0.05765646055222362,-0.038882103823951186,0.1647332100898857,0.14030251776254937,1.299298963443246e-11,3.215269329274089,0.4284079477475893,5.91,0.2599999999999998
