year,v3_return,active_vs_EqualWeight_weekly,active_vs_Markowitz_CVXPY_weekly,active_vs_HMM_MPC_CVXPY_weekly
2013,0.35247139787113735,0.055223489730769064,0.08050103171252518,0.060935530503925125
2014,0.1687480844581537,0.03279614336599294,-0.022743427821011866,-0.019015332875810576
2015,0.04277383089628417,0.05799982177122369,0.02501886631052929,-0.005755746280367048
2016,0.04400329301919914,-0.09079538406033658,-0.0012901729322944422,-0.016324927037341414
2017,0.2090506835299255,0.013151356230313141,0.03946866714559147,0.0400605478285612
2018,-0.015703536587207023,0.04987389586478515,0.021177611287732073,0.01227168462143451
2019,0.29827212881629395,0.014625651871717788,0.00848627523923879,-0.02787494588358012
2020,0.12830449079531592,0.014588244331641468,0.005768603055425423,0.01802367200091503
2021,0.2073677950153754,-0.07274464661570157,-0.004632817180335951,0.004364269724808292
2022,0.07249863755669317,0.12647890885714336,0.16300455067014472,0.162831144098147
2023,0.11056626348111265,-0.024530298551799338,0.11065796946485819,0.10361373614302637
2024,0.16645278439076217,0.012969583357898405,0.09573809211884993,0.09069424484226185
