decision_date,effective_date,candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-11,2013-01-14,g5_a025_cap10_s1,optimal,1.396431581479618e-12,1.4063541837497396e-15,0.24928943154810182,calm,0.9857886309625913,0.014211369037162302,2.464200591879237e-13,5.0,0.25,0.1,1.0,0.1115322058415371,0.11091910713121392,0.11097999564861803,0.11072796663275235,0.11081820902145188,0.11141703887204824,0.1103625480092407,0.11232136258993856,0.11092156625319927
2013-01-18,2013-01-22,g5_a025_cap10_s1,optimal,6.245004513516506e-17,6.290495561721804e-20,0.24927156100353734,calm,0.9854312200719051,0.014568779927580105,5.148554568080934e-13,5.0,0.25,0.1,1.0,0.11119314795319384,0.11245482343613421,0.10997095127698081,0.11181760627903747,0.10881402803712416,0.11186367246986426,0.10996705427153998,0.11213042811665301,0.11178828815947231
2013-01-25,2013-01-28,g5_a025_cap10_s1,optimal,6.245004513516506e-17,6.366873801993838e-20,0.24804852313462047,calm,0.960970768127746,0.0390290961232155,1.3574903851615066e-07,5.0,0.25,0.1,1.0,0.11090942029362678,0.11304122491095649,0.1105567209638721,0.11184646937518804,0.10706101349618503,0.11124697423488417,0.11020067969512853,0.1124206430349479,0.11271685399521095
2013-02-01,2013-02-04,g5_a025_cap10_s1,optimal,0.0,0.0,0.2480863607311462,calm,0.961727233818737,0.0382727576497906,8.531472423413983e-09,5.0,0.25,0.1,1.0,0.10952015088595854,0.1140843544615346,0.11077113854274126,0.1111724530285626,0.10797757788261962,0.11180988062525282,0.11089712620724047,0.1127862744490813,0.11098104391700866
2013-02-08,2013-02-11,g5_a025_cap10_s1,optimal,0.0,0.0,0.248479615607317,calm,0.9906437883527199,1.6639195927620972e-17,0.009356211647280104,5.0,0.25,0.1,1.0,0.10881215882613104,0.11443497220109372,0.11032772873464439,0.11117364362420055,0.10833033919419506,0.11235493015022366,0.11054608611601649,0.11276244568756806,0.11125769546592709
2013-02-15,2013-02-19,g5_a025_cap10_s1,optimal,0.0,0.0,0.24849719119033414,calm,0.9907519457866717,4.13224260438595e-18,0.009248054213328302,5.0,0.25,0.1,1.0,0.10846516887949494,0.11396824175820505,0.11106031965843637,0.11213258161463607,0.10752567576488466,0.11247081164514046,0.11036780443827875,0.11254045276611731,0.11146894347480649
2013-02-22,2013-02-25,g5_a025_cap10_s1,optimal,6.1825544683813405e-15,6.239215368249737e-18,0.2485107456350441,calm,0.9908353577541176,1.0883296399998765e-16,0.0091646422458824,5.0,0.25,0.1,1.0,0.10571185781980044,0.11362975052885765,0.11128672698761417,0.11188517821546752,0.10754033998115475,0.11477710682664188,0.112104459535348,0.11284499599197248,0.11021958411314309
2013-03-01,2013-03-04,g5_a025_cap10_s1,optimal,0.0,0.0,0.24853208471256932,calm,0.9909666751542726,1.5467253561199276e-16,0.009033324845727301,5.0,0.25,0.1,1.0,0.10609186895366512,0.11294772101233339,0.11024975693861912,0.1116346869756041,0.1071061525480136,0.1142326271446865,0.11265073652010167,0.11343777799845248,0.11164867190852398
2013-03-08,2013-03-11,g5_a025_cap10_s1,optimal,0.0,0.0,0.24854424248582674,calm,0.9910414922204722,6.372536376010366e-19,0.008958507779527699,5.0,0.25,0.1,1.0,0.10680400649478423,0.11231017405049329,0.11163417992136083,0.11177718212283438,0.1070392483248417,0.11303289885366695,0.11169574286927587,0.11301226416389323,0.11269430319884959
2013-03-15,2013-03-18,g5_a025_cap10_s1,optimal,0.0,0.0,0.24856475708193318,calm,0.9911677358888196,2.4444974083006085e-19,0.0088322641111805,5.0,0.25,0.1,1.0,0.10708533612874575,0.11277595826071413,0.11239454398851252,0.11176438890363381,0.10630100271399656,0.11230411278355036,0.11223620288181116,0.1130743454794745,0.11206410885956122
2013-03-22,2013-03-25,g5_a025_cap10_s1,optimal,0.0,0.0,0.24857315918296033,calm,0.9912194411259098,2.102538650121302e-18,0.0087805588740902,5.0,0.25,0.1,1.0,0.1052980600643213,0.11189977751611206,0.1110753878055546,0.11115827380112438,0.10650771819009425,0.11500470047941412,0.1126843493202175,0.11391394762923995,0.11245778519392186
2013-03-28,2013-04-01,g5_a025_cap10_s1,optimal,6.245004513516506e-17,6.315506338328534e-20,0.24816548626871954,calm,0.9887106847305818,1.0998803160710573e-17,0.011289315269418199,5.0,0.25,0.1,1.0,0.10459855856145263,0.11163265391418703,0.11020932001102801,0.1104802278438176,0.10585284283259067,0.1152823979351158,0.11434118093283419,0.11540122019506192,0.11220159777391221
