,vs_EqualWeight_weekly,vs_Markowitz_CVXPY_weekly,vs_HMM_MPC_CVXPY_weekly
2013-01-08,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0
2013-01-14,6.833007886353215e-05,-0.00012626384140745905,-0.0003362057417349851
2013-01-15,-0.0005568998203221431,-0.0010435817237264278,-0.0007238359692299801
2013-01-16,-0.0006668446065803968,0.00019173066893585222,-0.0010641522392981217
2013-01-17,-4.797561120595262e-05,0.0010795084865298232,-0.000898799339393741
2013-01-18,-0.0013656534545853916,-0.0009430813686746031,-0.0017161244592907021
2013-01-22,-0.003088347964537941,-0.0011031925763617112,-0.0004218232570821767
2013-01-23,-0.0022334476276616444,0.0007149440764133708,0.00018652491691617534
2013-01-24,-0.0012161167520332583,-0.00019742349472240406,0.00011572414338134607
2013-01-25,-9.4697593251869e-05,0.0007298047755202042,0.0005155093896220819
2013-01-28,-0.0003728255042682038,-0.0009324328517646974,-0.00023609419210668392
2013-01-29,-0.0013587901571443517,-0.0023777295630463824,0.00025564027846103343
2013-01-30,-0.00017674337641293558,-0.003921558817502335,-0.00020855806513520037
2013-01-31,0.00031430820483935307,-0.00545011055315181,0.00014219021083206052
2013-02-01,-0.000481576868389455,-0.003148975731922965,0.0008830197294866782
2013-02-04,-0.0015310406264388288,-0.00560348907606123,0.00028250635025184323
2013-02-05,-8.678802085859694e-05,-0.0032668782956110087,-0.00019191876999058444
2013-02-06,-0.00014479031064740244,-0.0040742302421713505,-0.0003909567342484932
2013-02-07,-0.0004185872418770442,-0.007592512207681201,-0.0027104900964115552
2013-02-08,6.439419953196968e-05,-0.0033664882378751093,-0.0011923353762408606
2013-02-11,-0.0006347299245036409,-0.0049368266061262656,-0.0011212909829121376
2013-02-12,-0.0009655271763019391,-0.0045822601106132455,-0.00028413363794987934
2013-02-13,-0.0024244610543756595,-0.005092521945437634,-0.001220528314427427
2013-02-14,-0.001147669071567603,-0.0012981202627320165,-1.0166022121449458e-05
2013-02-15,0.0006743602334473575,-0.0023394142067625356,-0.0008433363722094578
2013-02-19,0.0007396347565387096,-0.004302430961957815,-0.0015255620252631052
2013-02-20,0.004311476460953978,-0.010627159159482202,-0.004453108805962724
2013-02-21,0.0050959866306672374,-0.014261405031214425,-0.00716371577915742
2013-02-22,0.0023139530953697474,-0.015160757396886937,-0.006748297430155814
2013-02-25,0.005009507924716328,-0.019048499579262024,-0.008897970822641432
