candidate,start,end,observations,annualized_return,annualized_volatility,sharpe,max_drawdown,final_wealth,avg_rebalance_turnover,total_cost
g8_a100_cap25_s1,2013-01-08,2024-12-31,3016,0.12890433050392014,0.1700351841167568,0.7581038664057103,-0.3286321811672711,4.267897816766928,0.025226372672496694,0.01882963789313317
g8_a075_cap25_s1,2013-01-08,2024-12-31,3016,0.12581946665577415,0.166288119351817,0.7566353335777223,-0.3308724206813659,4.130390537762384,0.019871072378219733,0.014780841387332199
g8_a075_cap10_s1,2013-01-08,2024-12-31,3016,0.12469909223460363,0.16695161814447693,0.7469175418634834,-0.32989791684594294,4.08146365921366,0.019191479437723175,0.014373010174775712
g5_a025_cap25_s1,2013-01-08,2024-12-31,3016,0.11110673409092464,0.1490962872792409,0.7452012127091668,-0.3306626969140354,3.5287166964510446,0.003207160563266211,0.002340205844852877
g5_a025_cap10_s1,2013-01-08,2024-12-31,3016,0.11106098050994517,0.14910422413538105,0.7448546890871849,-0.3306669087274444,3.526978019782754,0.0031554939597787405,0.002339478410133083
g8_a100_cap10_s1,2013-01-08,2024-12-31,3016,0.12602659197205135,0.17027928359998393,0.7401169966636109,-0.330120655880934,4.1394943768913075,0.023689057777255024,0.01778227344267254
g8_a025_cap25_s1,2013-01-08,2024-12-31,3016,0.10644761138851577,0.14406671332848126,0.7388772113222883,-0.33522933494730267,3.3556421157283634,0.0030707268727429645,0.002598262087244366
g5_a075_cap10_s1,2013-01-08,2024-12-31,3016,0.13001103723398622,0.17677352970287638,0.7354666586819346,-0.33099401554860775,4.318242828112495,0.019585863040988322,0.014281160579025561
g8_a025_cap10_s1,2013-01-08,2024-12-31,3016,0.10600848817941388,0.144153695598436,0.7353851577604926,-0.33525053343670064,3.339737728706505,0.0030740644881136793,0.0025962905885513537
g5_a075_cap25_s1,2013-01-08,2024-12-31,3016,0.12832302422302888,0.17667567632018558,0.726319700004837,-0.3305082558845769,4.241669728813117,0.02097821368006462,0.015155239283408372
g5_a100_cap25_s1,2013-01-08,2024-12-31,3016,0.1301703548292652,0.1793358476750274,0.7258468204591507,-0.32882110084935046,4.325534963704264,0.025753701740184716,0.018597085744705297
g5_a100_cap10_s1,2013-01-08,2024-12-31,3016,0.1299816951399826,0.17955272452234583,0.7239193695654894,-0.33073692333017324,4.316901038479549,0.023163625929640948,0.01702725563931349
