date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-08,0.1115895407195649,0.11105115686303889,0.11108883936036039,0.11055819109299606,0.11100027362382747,0.11110309556951858,0.11107001054337937,0.11144346514464165,0.11109542708267277
2013-01-09,0.11195884773322458,0.11052056957992307,0.1106095498495592,0.11132329555463862,0.11084037780382948,0.11100420714322405,0.11050168842134502,0.11231192595698845,0.11092953795726765
2013-01-10,0.11171969516802582,0.11079927729072056,0.11125533417970081,0.11114043928287479,0.1106842178799296,0.1109365871185553,0.11025361011235173,0.11236425099968733,0.11084658796815397
2013-01-11,0.11153220584161291,0.1109191071312262,0.11097999564865929,0.11072796663276122,0.11081820902138813,0.11141703887330646,0.11036254800869637,0.11232136258935121,0.11092156625299829
2013-01-14,9.335798346728826e-18,9.329687482903456e-18,0.1106280722166281,0.11112508106406205,0.11007914916318057,0.11173027643727204,0.08262948776182542,0.319697182754098,0.15411075060293392
2013-01-15,9.33249378177493e-18,9.358601497211747e-18,0.11092898381566395,0.1112831397453067,0.10921714466253792,0.11191708723765546,0.08274921442731036,0.318874958620366,0.15502947149115953
2013-01-16,9.280428627779347e-18,9.4154126509166e-18,0.11117146226966292,0.11100812084772635,0.1097664965568628,0.11194117169253506,0.08248401390769196,0.3186972058497685,0.15493152887575234
2013-01-17,9.286177811762521e-18,9.408075870378472e-18,0.11032196081549736,0.11140543210601417,0.10943754618430702,0.11188984304165428,0.08222671548986754,0.31925649499375014,0.15546200736890942
2013-01-18,9.317743050571085e-18,9.47049908159421e-18,0.11009373271665306,0.11194244949005486,0.10893551778375676,0.11198856711456712,0.08260921983226871,0.3192842275120224,0.1551462855506772
2013-01-22,0.0,0.0,0.14190223559803636,2.904446409132476e-10,0.10881173501793505,0.11158824144305907,0.082983233087245,0.31896039206616655,0.23575416249711337
2013-01-23,0.0,0.0,0.14173006056725765,2.903323819499644e-10,0.10988643448915889,0.11148670619027005,0.08272304092590602,0.31838083834429914,0.23579291919277576
2013-01-24,0.0,0.0,0.14199074536274844,2.910928739963782e-10,0.10764322905714942,0.11141832988556381,0.08281385705381422,0.31934341402982575,0.2367904243198055
2013-01-25,0.0,0.0,0.14169526681220174,2.9008855896864766e-10,0.10703690054731196,0.11122191906325574,0.08267377440238766,0.31968158028146015,0.2376905586032942
2013-01-28,5.347335985415917e-12,5.389808093303573e-12,0.14146663798455383,6.616143611038474e-11,0.10766027807731891,0.11158016257911847,0.0828267110507687,0.3193279797651621,0.23713823046617932
