,net_return,turnover,cost,wealth
2013-01-08,-0.002739361025400955,0.0,0.0,0.997260638974599
2013-01-09,0.003148443821219926,0.0,0.0,1.0004004580715244
2013-01-10,0.006520210464479037,0.0,0.0,1.006923279606912
2013-01-11,0.00014271423896450308,0.0,0.0,1.0070669818964568
2013-01-14,-2.07437315236092e-06,0.2500000000000001,0.000251776421129707,1.007064892863747
2013-01-15,0.001379207906534008,0.0,0.0,1.0084538447263773
2013-01-16,-0.0015984864631041207,0.0,0.0,1.006841844906917
2013-01-17,0.0071121413030783565,0.0,0.0,1.0140026463777472
2013-01-18,0.0032430971456531843,0.0,0.0,1.0172911554658997
2013-01-22,0.003749515172558171,0.11194245276756153,0.00011275788524708124,1.0211055040882282
2013-01-23,0.000636357610120708,0.0,0.0,1.021755292346491
2013-01-24,0.0033568446324290235,0.0,0.0,1.0251851661152602
2013-01-25,0.006695296758789437,0.0,0.0,1.0320490850351107
2013-01-28,-0.00239712517831725,2.241345672214238e-10,2.285084824317859e-13,1.0295751341881139
2013-01-29,0.004397835734347044,0.0,0.0,1.0341030365044415
2013-01-30,-0.002506126666550146,0.0,0.0,1.0315114433086972
2013-01-31,-0.0018613593191355582,0.0,0.0,1.0295914298708995
2013-02-01,0.008117150766483006,0.0,0.0,1.0379487787350403
2013-02-04,-0.011248545124964315,0.02869891073913279,2.924810421174266e-05,1.0262733650600375
2013-02-05,0.010419847478866151,0.0,0.0,1.0369669769955858
2013-02-06,0.0010058169218718493,0.0,0.0,1.0380099759284702
2013-02-07,-0.0015061827998728017,0.0,0.0,1.0364465431566303
2013-02-08,0.005434233030413349,0.0,0.0,1.0420788351957098
2013-02-11,-0.0010775050094443683,0.1441076757768786,0.0001454559776914447,1.0409559900305505
2013-02-12,0.0017036779512129563,0.0,0.0,1.0427294437989485
2013-02-13,-7.865312366284183e-05,0.0,0.0,1.0426474298710584
2013-02-14,0.0017227007876599032,0.0,0.0,1.044443599419749
2013-02-15,0.0007642974740385,0.0,0.0,1.0452418650245612
2013-02-19,0.006690589075497355,5.506586360571305e-08,5.5575115697642424e-11,1.0522351488279469
2013-02-20,-0.00936542549513053,0.0,0.0,1.0423805189382411
2013-02-21,-0.005155151375269562,0.0,0.0,1.0370068895724824
2013-02-22,0.006329630671576103,0.0,0.0,1.043570760187356
