comparison,annualized_active_return,tracking_error,information_ratio,annualized_return_difference,sharpe_difference,max_drawdown_improvement,final_wealth_ratio,avg_rebalance_turnover_difference,total_cost_difference
V3_Rolling_Regime_MPC minus EqualWeight_weekly,0.015730011867466545,0.06966827002478966,0.2257844476670574,0.017495331241346612,0.09728711612660934,0.035334516507741665,1.2025589388564248,0.007806221119252288,0.006746505201245298
V3_Rolling_Regime_MPC minus Markowitz_CVXPY_weekly,0.04329241395030764,0.07178663567393982,0.6030706627197988,0.045228488206963124,0.1972984555667201,-0.009399720434630665,1.6205935251690948,-0.027059319639770776,-0.01507932331390124
V3_Rolling_Regime_MPC minus HMM_MPC_CVXPY_weekly,0.03519744956167707,0.06830272354202586,0.5153154623478593,0.037012627258697695,0.16240664500526203,-0.00794816612356053,1.482355078525189,-0.00465308438643133,-0.007052533045423571
