decision_date,selected_candidate,effective_alpha,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-11,g5_a100_cap25_s1,0.9971577261924073,-0.00027833306596964725,-0.0003496747170072514,0.00028764085016374385,-0.00011120724207640591,9.343164017655826e-05,0.00011091475464037611,-0.00029282401362831214,0.00025099477515923096,0.00028905701854170805
2013-01-18,g5_a100_cap25_s1,0.9970862440141494,-0.00029511957581615457,-0.0002754921676170964,0.00030461076890220566,-0.00010723198831299811,2.8936446237210678e-05,8.436812066414108e-05,-0.00019489135090464214,0.00019305850960627774,0.0002617612372410569
2013-01-25,g5_a100_cap25_s1,0.9921940925384819,-0.0002456506821828097,-0.0003146386313559624,0.000297237939676115,-0.00011907116471268015,-2.4412332331757226e-05,9.898666332271436e-05,-0.0001555212034964531,0.00019033799482502507,0.0002727314162558092
2013-02-01,g5_a100_cap25_s1,0.9923454429245848,-0.00025630045356214444,-0.00027550115513915005,0.000332569216681184,-0.00010292953288659754,-2.589304582906256e-06,0.00011607810101315765,-0.00022225752485945983,0.00014571987788370789,0.0002652107754522092
2013-02-08,g5_a100_cap25_s1,0.993918462429268,-0.000165319478845804,-0.0003142798494956075,0.00027194036550095305,-9.488888876282034e-05,-9.654142373668883e-05,0.00010150182953967411,-0.0001996273553998555,0.0002609112107179222,0.0002363035904822272
2013-02-15,g5_a100_cap25_s1,0.9939887647613366,-9.494174725022619e-05,-0.00027320866957235214,0.0002997402657843805,-0.0001215168583003507,-0.00020277322419703616,9.694582095141567e-05,-0.0001994553066202129,0.00024616903917799653,0.00024904068002638564
2013-02-22,g5_a100_cap25_s1,0.9940429825401764,-0.00017150693682741467,-0.00033365900763861347,0.0003064379080323042,-7.974596703508023e-05,-0.0002495450504028272,0.00011495488453634963,-0.0001955128622773355,0.00032198447810640856,0.00028659255350620914
2013-03-01,g5_a100_cap25_s1,0.9941283388502773,-0.00018862394123969403,-0.0002986076556328552,0.00030442761375204936,-6.922665902454388e-05,-0.0003424230386442504,0.00012285283153974728,-0.00011123580916370086,0.0003305230741072205,0.0002523135843060271
2013-03-08,g5_a100_cap25_s1,0.994176969943307,-0.0001133699483117842,-0.0002495463714780413,0.0003439464731945607,3.078345589421054e-06,-0.00032934829810358975,5.4147143165338513e-05,-0.00022916626450249,0.000328285563358786,0.00019197335708779882
2013-03-15,g5_a100_cap25_s1,0.9942590283277327,-0.00011423761470871484,-0.0001986461358317811,0.0002562704186768574,-2.7755792014687285e-05,-0.0003526174770853593,0.00011368013070747079,-0.0001779249449654796,0.0003035168939754092,0.00019771452124628424
