,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-01-08,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955
2013-01-09,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926,0.003148443821219926
2013-01-10,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037,0.006520210464479037
2013-01-11,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308
2013-01-14,-6.447682279409062e-05,-6.447682278842848e-05,-8.305533264851839e-05,-0.00010724053028388081,-8.310111512177532e-05,-2.07437315236092e-06,8.157497998628749e-05,8.157497998628749e-05,-8.394974006209477e-05,-0.00022637516742729513,-8.305533265018372e-05,-0.00022637516742729513
2013-01-15,0.002001454741353381,0.0020014547413558237,0.0014332403053081144,0.0011922746945218776,0.0014329536929960085,0.001379207906534008,0.0019191344399707155,0.0019191344399707155,0.0014588188897244336,0.0010128298050451345,0.0014332403053090026,0.0010128298050451345
2013-01-16,-0.0014910332360343892,-0.0014910332360325018,-0.0021545362606872898,-0.0016684880275525948,-0.0021549150922839377,-0.0015984864631041207,-0.0018493622282533817,-0.0018493622282533817,-0.002068366117581766,-0.0016148163123386183,-0.002154536260687401,-0.0016148163123386183
2013-01-17,0.006493428073355512,0.0064934280733548455,0.006748405783526756,0.0069177630324051,0.006748462790716392,0.0071121413030783565,0.006507416396358767,0.006507416396358767,0.006737995437449351,0.006852905624406658,0.006748405783525646,0.006852905624406658
2013-01-18,0.0045640292483393186,0.0045640292483388745,0.003902021191657168,0.0034431586883885146,0.0039016775018225758,0.0032430971456531843,0.0041438859238238646,0.0041438859238238646,0.003926532294370899,0.003328782172987488,0.003902021191658278,0.003328782172987488
2013-01-22,0.005482796259813183,0.005482796259807854,0.004014462234862348,0.00397210583347074,0.004067482876594974,0.003749515172558171,0.004756485229591156,0.004756485229591156,0.004024303828279452,0.003942062927704937,0.004019765005712106,0.0037436408253435083
