regime,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
calm,0.0041192321051629925,0.022686310762268475,0.11492435577316659,0.0440426852600131,0.1693589427868978,0.08855730342284315,0.12255011279109934,0.21596439860082875,0.21779665849771976
stress,5.258657523023709e-09,0.010861741653577915,0.012331237972785472,0.011450769239143717,0.18997973774246496,0.07400960413155934,0.1749767640891496,0.25126075470292975,0.27512938520973174
transition,0.002784002908491881,0.1503208084019905,0.04678556595410797,0.009570539273315136,0.09957164901449801,0.11742411402167285,0.18288955766757234,0.20794550749068094,0.18270825526767034
