date,prob_calm,prob_transition,prob_stress,next_prob_calm,next_prob_transition,next_prob_stress,dominant_regime,next_cost_multiplier,hmm_log_likelihood,effective_sample_calm,effective_sample_transition,effective_sample_stress,solver_status
2013-04-12,0.9999999999899956,1.2254987476349218e-22,9.702289918813346e-12,0.9859839731758684,2.610820854029606e-13,0.014016026823870537,calm,1.0280320536478715,-7000.830312855722,428.29222307170494,140.2905969243954,186.41718000391046,hmm_mpc
2013-04-19,0.9999999999990905,3.058284069427329e-21,5.727808062549861e-13,0.9884349898693165,1.8554604693124558e-14,0.011565010130664893,calm,1.0231300202613391,-7031.937211380548,456.91313918021,143.3917790043811,154.69508181541897,hmm_mpc
2013-04-26,1.0,1.4860680186289218e-26,2.49731221610492e-16,0.991507317812915,8.41314228776974e-18,0.008492682187085081,calm,1.0169853643741702,-7032.651897389921,461.99360363360665,144.26452770645344,148.74186865994548,hmm_mpc
2013-05-03,1.0,1.7185348090376456e-26,4.751778935873863e-17,0.9913353287817956,1.5963869651643753e-18,0.008664671218204372,calm,1.0173293424364087,-7027.02694934519,461.42663362830933,144.41024510410043,149.16312126759343,hmm_mpc
2013-05-10,0.9999999854144336,1.4585726092623052e-08,2.2528789998139952e-35,0.9795920026896339,0.020407997129790714,1.8057535943897258e-10,calm,1.0102039989260458,-6848.526066032021,393.7606776148418,248.92417318913368,112.31514919602621,hmm_mpc
2013-05-17,0.9999998521225388,1.4787720664795368e-07,1.9715556596924445e-35,0.9807228571197519,0.01927714161542393,1.264824175873438e-09,calm,1.0096385733373603,-6813.85608177178,391.99671248936244,251.09617548966716,111.90711202098483,hmm_mpc
2013-05-24,0.9999999903666321,9.633281510092862e-09,5.955615039083873e-37,0.9809705331103064,0.019029466811909188,7.778442605273809e-11,calm,1.0095147335615235,-6839.1997402968345,394.2361432305303,253.9532253121157,106.81063145734696,hmm_mpc
2013-05-31,0.9999942677378062,5.732261994373632e-06,2.8441496578267793e-30,0.9812067995155936,0.018793154595345543,4.588906072865453e-08,calm,1.009396669075794,-6861.08098876396,396.92905846746226,255.18230056628693,102.8886409662566,hmm_mpc
2013-06-07,0.00029596649565543764,0.9997040335047183,1.243227367211299e-16,0.05105010598509295,0.9450101581392727,0.003939735875634288,transition,1.4803845508209048,-6699.784263483857,353.6236175595923,254.8689273329565,146.5074551074512,hmm_mpc
2013-06-14,1.174996420917695e-08,0.9999999882502381,1.9213976139599154e-15,0.05005256209714925,0.9461551740127159,0.00379226389013497,transition,1.480662114786628,-6738.564415323933,349.27184703496727,264.74504083136037,140.9831121336681,hmm_mpc
2013-06-21,1.3814317845372099e-21,1.0,1.5001133013329004e-13,0.048774355012627224,0.9474525421379598,0.0037731028494131045,transition,1.4812724767678063,-6734.558017398854,350.8996371585605,266.78814576251636,137.31221707892615,hmm_mpc
2013-06-28,0.9999976127538803,2.3872462411185915e-06,1.6313345935676624e-27,0.9958918401676373,0.004108134156334242,2.5676028316580884e-08,calm,1.0020541184302236,-7182.320347028272,501.68828950429895,186.0851216417201,67.22658885397786,hmm_mpc
2013-07-05,0.9999999887240848,1.1275669006457897e-08,1.076076119080748e-36,0.9959532756396923,0.00404672423907036,1.2123734964983084e-10,calm,1.0020233623620098,-7219.137029669289,505.777894838213,186.08405240854995,63.13805275325354,hmm_mpc
2013-07-12,0.9999045617321364,9.543826814281281e-05,3.0040928874097737e-16,0.9628990091891011,0.0371003112284806,6.795824182158734e-07,calm,1.0185515147790765,-6627.327916757117,317.6044948233715,280.8933717318673,156.50213344476683,hmm_mpc
2013-07-19,0.999998441827606,1.5581723127525842e-06,5.593099604941577e-23,0.9634047756840415,0.03659521323584471,1.1080113856886346e-08,calm,1.0182976287781502,-6610.039510053677,322.40972744327416,281.27675299530983,151.31351956141756,hmm_mpc
2013-07-26,0.9999999479796329,5.202077269162002e-08,3.053616345202136e-25,0.967141368846919,0.032858630777000526,3.76080451666644e-10,calm,1.016429316140661,-6604.845068620612,333.76965647932985,276.6689283677848,144.56141515289616,hmm_mpc
2013-08-02,0.9999999569736255,4.302676979604245e-08,8.643719727302148e-26,0.9675851385054617,0.03241486118412353,3.104146991133149e-10,calm,1.0162074312128913,-6570.349626782548,338.8669741539598,277.2377634689052,138.89526237714333,hmm_mpc
2013-08-09,0.9999981112159378,1.8887842424908978e-06,1.8739890784329094e-34,0.9546820292748648,0.04531796454940515,6.1757302188115994e-09,calm,1.0226589946261633,-6658.822156708263,343.51654871970965,306.049287872406,105.43416340788535,hmm_mpc
2013-08-16,1.5586775165020198e-13,1.0,1.0928446702056436e-24,0.04344802401023731,0.9530939833091027,0.0034579926806601667,transition,1.4834629770158718,-6600.938424525239,360.44428257384163,289.1905318391665,105.36518558699059,hmm_mpc
2013-08-23,1.4316441772122186e-11,0.9999999999854481,1.8780634885324293e-18,0.03494736459495927,0.9580279978364048,0.007024637568635952,transition,1.4930632740554743,-6480.236463075415,348.97117148755694,284.71706890289977,121.31175960955923,hmm_mpc
2013-08-30,0.9999999999672582,4.472038006035948e-21,3.25949339998592e-11,0.9959896663503758,1.4777313249958358e-12,0.004010333648146556,calm,1.008020667297032,-7170.1902360275235,498.7084322041572,166.26371298792702,90.02785480792343,hmm_mpc
2013-09-06,4.679681361934905e-13,0.9999999999990905,2.684542141136264e-23,0.03337476080691996,0.9632499499291379,0.0033752892639420753,transition,1.488375553492453,-6426.280248763216,350.38386735659583,296.27277707144367,108.34335557196059,hmm_mpc
2013-09-13,0.15296170844980148,0.8470382915506378,7.533674745216023e-27,0.1759804976671204,0.8212164438355702,0.002803058497309426,transition,1.416214338912404,-6379.041419877817,347.4608592546201,302.18652119545516,105.35261954991817,hmm_mpc
2013-09-20,0.9999990049177944,9.95082106413864e-07,5.753849873026444e-38,0.9659151845739559,0.034084812114179144,3.311864988715062e-09,calm,1.0170424126808195,-6337.671488847487,348.56336985644646,300.46207954885324,105.97455059470323,hmm_mpc
2013-09-27,0.9947743621896146,0.005225637810558841,2.2395876358836046e-29,0.9622441268308602,0.037738270724034975,1.7602445104822014e-05,calm,1.0189043402522273,-6312.09918350537,349.11852061069527,296.87411845240456,109.00736093690988,hmm_mpc
2013-10-04,0.0002173457292008526,0.9997826542710478,4.656626071754153e-24,0.03507756405062112,0.9616018691771945,0.0033205667721843382,transition,1.4874420681329659,-6306.712749721818,344.33663425575105,301.0938644737736,109.56950127048549,hmm_mpc
2013-10-11,0.00209382313462323,0.9979061768649563,1.179522962655407e-24,0.036277950718496356,0.9604568815138541,0.003265167767649511,transition,1.4867587762922259,-6305.030281881498,339.60795461386107,305.625548853932,109.76649653219616,hmm_mpc
2013-10-18,1.0,1.571858624904664e-28,5.970250684802314e-18,0.9965128819048908,2.135476531258128e-19,0.0034871180951091168,calm,1.006974236190218,-7093.684543129628,573.5373870689234,97.57677296570644,83.88583996537102,hmm_mpc
2013-10-25,0.9999948266274383,5.173372323778022e-06,4.782002450207458e-31,0.960571872314113,0.039428110448916684,1.7236970363402113e-08,calm,1.0197140896983992,-6298.1205362219025,337.86999005040747,300.14694650441777,116.98306344518528,hmm_mpc
2013-11-01,1.0,4.879497230122898e-27,1.1195072842111012e-18,0.9964325932050506,3.9705676715204723e-20,0.0035674067949493585,calm,1.0071348135898988,-7052.855105184598,560.626813916635,109.76668343547358,84.60650264790452,hmm_mpc
2013-11-08,1.0,1.734974815876711e-26,6.997193154993606e-19,0.9964224175630343,2.4766885410823378e-20,0.003577582436965709,calm,1.0071551648739314,-7039.2370593837995,559.0328823680436,111.18680020381096,84.78031742815074,hmm_mpc
2013-11-15,1.0,2.5964048119263464e-29,2.6684082029749005e-20,0.9964160784824476,9.428687816756467e-22,0.003583921517552419,calm,1.007167843035105,-7031.025190011534,558.0438662912607,112.0276694960517,84.92846421269469,hmm_mpc
2013-11-22,1.0,4.0106784314368965e-29,6.16634480336577e-20,0.996409691793196,2.1740947887207454e-21,0.0035903082068039936,calm,1.0071806164136081,-7014.20994910454,557.0504839499533,112.83446431149079,85.11505173856,hmm_mpc
2013-11-29,0.999999831215078,1.687849631111656e-07,8.251692369256785e-35,0.9654740809658652,0.03452591845093513,5.83199690348437e-10,calm,1.017262960391867,-6191.267991235629,348.55123789320135,289.39608319911054,117.05267890769399,hmm_mpc
2013-12-06,0.9999783058126374,2.1694187734009832e-05,6.691801836282682e-30,0.9659271970138227,0.03407272739942029,7.558675698324286e-08,calm,1.017036514873224,-6161.60694487097,350.9146361579065,287.01339271982437,117.07197112227139,hmm_mpc
2013-12-13,0.052585962431284355,0.9474140375683656,3.675803675729188e-24,0.08622055659464876,0.9105014194818793,0.003278023923471964,transition,1.4618067575878837,-6163.898119252373,348.92113010105135,289.0067281782192,117.07214172073937,hmm_mpc
2013-12-20,0.9999976562212578,2.343778998133347e-06,6.526464273262531e-33,0.9627482818298243,0.03725171014194097,8.028234720109579e-09,calm,1.01862587112744,-6176.206372905853,345.9725147045329,291.94779710601233,117.07968818945513,hmm_mpc
2013-12-27,0.9999998831999687,1.1679998420663445e-07,1.5106801790701776e-36,0.9629277386089224,0.03707226099091201,4.0016555430824217e-10,calm,1.018536131295787,-6173.298106518747,346.02000651216986,291.8834427260791,117.09655076175801,hmm_mpc
2014-01-03,1.0,6.956479195800251e-29,5.346617179869341e-20,0.9963402618078756,2.3490170329876307e-21,0.0036597381921243603,calm,1.0073194763842488,-6943.046456655836,546.4846771032848,122.52774599885291,85.98757689786413,hmm_mpc
2014-01-10,1.0,3.3463986861304996e-29,2.2764627982639567e-20,0.9963402768142529,2.1018357447925743e-21,0.0036597231857471504,calm,1.0073194463714943,-6936.427702455021,546.4870289092437,122.52476097808513,85.98821011267465,hmm_mpc
2014-01-17,1.0,4.6705960789766743e-29,7.912133624639033e-20,0.9963414438603856,2.7625058207974696e-21,0.0036585561396143655,calm,1.0073171122792286,-6939.079041861883,546.6619021987127,122.36337854056715,85.97471926072264,hmm_mpc
2014-01-24,1.3195557108959215e-10,0.9999999998681233,6.2541452899012404e-27,0.04032067902474703,0.9562491042974778,0.0034302166777751978,transition,1.4849849855042891,-6147.542814953987,346.3123166747529,291.5299068029302,117.15777652231931,hmm_mpc
2014-01-31,9.784714683781407e-17,1.0,2.410551126318935e-23,0.03931811044716491,0.9573147987159356,0.0033670908368993715,transition,1.4853915810317664,-6152.995560383376,340.87312046973796,296.9950524395085,117.13182709075615,hmm_mpc
2014-02-07,2.0060395624730143e-11,0.9999999999799911,5.362735765370277e-23,0.038827811687876766,0.9578563996719075,0.0033157886402158613,transition,1.4855597771163855,-6166.947842807659,336.29467296227284,301.58949949108165,117.11582754665325,hmm_mpc
2014-02-14,0.008650569374045486,0.9913494306258861,2.4581473740889534e-24,0.046036284271055876,0.950732935906165,0.003230779822779034,transition,1.4818280275986404,-6198.736010134438,331.0385489454674,306.846916480089,117.11453457443841,hmm_mpc
2014-02-21,1.0,1.619031014519806e-27,2.778002092543001e-17,0.9963379818118817,9.725376413040833e-19,0.003662018188118329,calm,1.0073240363762368,-6992.222331926162,546.1454718655053,123.10516196835485,85.74936616614919,hmm_mpc
2014-02-28,1.0,2.1175777805200595e-28,1.8321904961837402e-19,0.9963382511029795,6.409150601809255e-21,0.003661748897020572,calm,1.0073234977940413,-6987.275924236248,546.1841944787383,122.99824786703805,85.81755765422635,hmm_mpc
2014-03-07,0.9999995144863802,4.855132798813003e-07,8.751561617721703e-34,0.9628262259651986,0.03717377242710566,1.6076957883729055e-09,calm,1.0185868894289443,-6174.225195635041,335.8583418235268,301.9956243709531,117.14603380552269,hmm_mpc
2014-03-14,0.6587726991508316,0.34122730084899233,1.5031212074452933e-25,0.6483945329207449,0.35045415644198713,0.0011513106372679856,calm,1.1775296994955295,-6161.07392398527,341.43081099204414,296.3860668872039,117.18312212075747,hmm_mpc
2014-03-21,0.9997602089341663,0.00023979106576819676,5.3889043515444824e-34,0.9641741244426835,0.03582505212398361,8.234333329249432e-07,calm,1.0179141729286576,-6136.413562935601,346.5250995686836,291.21470457165054,117.26019585967133,hmm_mpc
2014-03-28,0.9972910091703568,0.0027089908299202784,2.323614297484985e-29,0.9640151475731391,0.03597478086481386,1.00715620470525e-05,calm,1.0180075335565009,-6133.797169533326,368.4057607589517,268.9880983502735,117.60614089077242,hmm_mpc
2014-04-04,0.9996273388288076,0.0003726611709166531,1.2320256185430312e-33,0.9671549269297698,0.032843676848646614,1.396221583593917e-06,calm,1.0164246308674905,-6114.126449947302,370.24395401965546,266.9118157526363,117.84423022771543,hmm_mpc
2014-04-11,2.9445625657179503e-12,0.9999999999972715,7.5066921450931165e-25,0.03677139560443678,0.9596728069321617,0.0035557974634013627,transition,1.4869479983928835,-6130.660125890233,356.1653832316274,281.21939447451405,117.615222293856,hmm_mpc
2014-04-17,0.8262785355667759,0.17372146443330058,9.819223364928622e-27,0.8038188286535833,0.19557350245235186,0.0006076688940648371,calm,1.0990020890143055,-6136.079341278486,351.5271947304652,285.8889521302558,117.5838531392756,hmm_mpc
2014-04-25,0.9998876802993274,0.00011231970042625044,4.879441420207536e-33,0.9609540596250136,0.0390455545193783,3.858556081429583e-07,calm,1.0195235489709054,-6132.280571561743,346.42248315953736,291.10054588942955,117.47697095102633,hmm_mpc
2014-05-02,0.9999474617630091,5.253823704382296e-05,3.9209759133093066e-33,0.964395200513128,0.03560461559579322,1.8389107886482501e-07,calm,1.0178026755800544,-6138.867147821677,351.5222105079048,285.7120959535315,117.76569353855984,hmm_mpc
2014-05-09,0.9999976875796526,2.312420594284801e-06,5.1652425265503484e-36,0.9663475154209205,0.03365247626132414,8.317755372685962e-09,calm,1.0168262547661728,-6128.471049343178,358.8034474121831,278.01290398342127,118.18364860439192,hmm_mpc
2014-05-16,1.0,8.952382083855492e-30,1.7134656601857246e-19,0.9963329456466065,5.966797153021999e-21,0.0036670543533936333,calm,1.0073341087067873,-6904.2766796949,545.3955622890934,123.39477967998458,86.20965803091825,hmm_mpc
2014-05-23,0.9999998146077077,1.8539259460493882e-07,3.3989839467945496e-32,0.9672955543892588,0.03270444487025814,7.404830060291071e-10,calm,1.0163522239160951,-6106.379078289942,379.83495984192115,250.34803574486858,124.81700441320926,hmm_mpc
2014-05-30,0.9999999700594349,2.9940754478312005e-08,2.4006185254467103e-33,0.9702244944666462,0.02977550541718513,1.1616865753341449e-10,calm,1.0148877529409297,-6103.184797538254,372.44726968310033,257.72041920222387,124.83231111468008,hmm_mpc
2014-06-06,0.9999999990986908,9.015444662182445e-10,2.296057702422907e-36,0.9707457426610359,0.029254257335401077,3.5629785342182847e-12,calm,1.0146271286748265,-6094.553818713188,377.11193153301645,253.0392818220194,124.84878664496328,hmm_mpc
2014-06-13,0.9999999890596883,1.0939927963121172e-08,1.0142218086713024e-35,0.9712833757616259,0.028716624194564836,4.380927915032595e-11,calm,1.014358312184901,-6088.441063125663,380.4183735346336,249.72451106945357,124.85711539592096,hmm_mpc
2014-06-20,0.999999999744432,2.556744648922071e-10,3.637016404009977e-39,0.970831598990025,0.02916840100896425,1.0107690507871559e-12,calm,1.0145842005065036,-6080.49953358721,377.2432311936578,252.95680409438933,124.79996471194853,hmm_mpc
2014-06-27,0.999999998291969,1.707615387063401e-09,5.422509148018814e-38,0.9701490655460244,0.029850934447164783,6.810806231096451e-12,calm,1.014925467237204,-6071.609554743472,379.49950416422473,250.7081587129008,124.79233712286799,hmm_mpc
2014-07-03,0.9999999867595762,1.3240107315966403e-08,1.962737969253302e-46,0.9697047873779499,0.030295212577961014,4.4089123191181244e-11,calm,1.0151476063771587,-6045.493235751788,340.3528413614855,304.39345884984016,110.25369978868207,hmm_mpc
2014-07-11,0.9999952784521663,4.721548024299865e-06,1.8733485024529415e-34,0.9693475035690384,0.030652463935404727,3.249555681281697e-08,calm,1.015326296958816,-6025.922471691883,344.3057964100626,290.61051231942747,120.08369127051778,hmm_mpc
2014-07-18,0.9870676334290243,0.012932366570550961,3.580078106170188e-26,0.9553272861377036,0.04457967599927099,9.303786302548176e-05,calm,1.0224759137256865,-6042.446249501205,356.890093739392,278.01630868901407,120.09359757158205,hmm_mpc
2014-07-25,0.9999925968851404,7.4031152206055126e-06,5.476446688867701e-36,0.9694116025396344,0.030588366135821048,3.132454448251628e-08,calm,1.0152942457169996,-6070.466762553528,399.7306983485171,236.33949412940666,118.92980752206502,hmm_mpc
2014-08-01,1.0831508843647573e-16,1.0,1.0659348149191273e-19,0.050356412475544454,0.9450947465644306,0.004548840960025038,transition,1.4816450552022655,-6073.471717864539,410.55809485454745,219.84322255924923,124.59868258619998,hmm_mpc
2014-08-08,7.194304585304583e-13,0.9999999999990905,1.9942639583359323e-115,0.05233324417350695,0.947666755826493,3.1341304006968426e-81,transition,1.4738333779132464,-6068.684429536565,403.60172509890475,235.84404977751393,115.55422512358312,hmm_mpc
2014-08-15,0.4061808364024722,0.5938191635977309,2.376623599776135e-145,0.4194373405147172,0.5805626594852829,1.12537082992401e-112,transition,1.2902813297426414,-6238.864928229079,366.3808221228728,285.4329077366233,103.18627014050894,hmm_mpc
2014-08-22,1.0,2.1597268292213561e-16,4.2204000981267813e-22,0.9982120596942567,2.806916614484923e-06,0.0017851333891288448,calm,1.003571670236565,-7119.125265913195,560.3079763534538,122.90925544064899,71.78276820589802,hmm_mpc
2014-08-29,0.9999999759402275,2.4059606317654496e-08,2.1654821477317815e-111,0.9671886903965765,0.032811309603423454,3.6641630356391154e-87,calm,1.0164056548017117,-6555.010244078608,406.98638727122375,240.16795348863005,107.84565924014657,hmm_mpc
2014-09-05,0.999999962091352,3.790906481118803e-08,4.861649968802524e-97,0.9674101988530561,0.032589801146943875,1.5932076708494359e-74,calm,1.016294900573472,-6639.050801985777,410.3695849191885,240.76990172095353,103.8605133598567,hmm_mpc
2014-09-12,0.9999459391153894,5.40608848995372e-05,8.825995649428086e-124,0.9677605015465698,0.032239498453430306,2.3650625795225003e-103,calm,1.0161197492267153,-6744.681148064549,415.4881117586526,240.6085174626138,98.90337077873798,hmm_mpc
2014-09-19,0.9999938038173302,6.196182570515703e-06,2.0623003456490514e-99,0.9682380762532099,0.03176192374679011,2.8536636232444723e-79,calm,1.015880961873395,-6826.80699429283,421.0015569288187,240.0155371094757,93.9829059617073,hmm_mpc
2014-09-26,5.5936683230477285e-06,0.9999944063312809,2.038666571145862e-115,0.055060853892141944,0.9449391461078581,1.4373382991315772e-97,transition,1.4724695730539292,-6953.779945773157,421.94406035337215,243.9780548218903,89.07788482473512,hmm_mpc
2014-10-03,3.4475475236528893e-08,0.9999999655246944,1.7345724572388712e-118,0.05393186685277551,0.9460681331472244,1.3751885148777982e-94,transition,1.4730340665736121,-7101.30044882414,421.2196810005704,249.20137007151868,84.5789489279212,hmm_mpc
2014-10-10,3.309909461129046e-35,1.0,2.1124196216083142e-148,0.054265268150099244,0.9457347318499008,1.4393782060803206e-136,transition,1.4728673659249503,-7275.372351239948,417.88256459667315,247.03544108678446,90.08199431654621,hmm_mpc
2014-10-17,1.6936661009573942e-43,1.0,3.139295582656805e-88,0.04990147956885724,0.9500985204311427,1.3004204964269754e-75,transition,1.4750492602155714,-7374.82225162097,426.75015366638195,242.98023298260074,85.2696133510212,hmm_mpc
2014-10-24,9.727632832747868e-06,0.9999902723675604,1.8179697121812529e-78,0.048948391518094846,0.9510516084819052,1.3740324554547831e-68,transition,1.4755258042409527,-7480.00432805597,426.33295043449755,247.78748351873605,80.87956604675996,hmm_mpc
2014-10-31,0.9996861793025966,0.00031382069785090003,1.548858994386114e-85,0.9685488102371221,0.03145118976287787,3.797800735798516e-77,calm,1.015725594881439,-7589.646853198728,426.5380939570525,251.45913287570738,77.00277316724417,hmm_mpc
2014-11-07,0.999998909823856,1.090176479676425e-06,5.928949859637048e-83,0.9685127182564425,0.031487281743557534,1.4614317869743548e-74,calm,1.0157436408717788,-7712.291671339861,425.01022512862164,251.8186198772579,78.17115499412682,hmm_mpc
2014-11-14,0.9999999999972715,3.0232278360365525e-12,3.659600403178956e-19,0.96652272373635,0.03347727626363513,1.4777282413572035e-14,calm,1.016738638131847,-7762.621240762208,438.8587940921357,204.84785522669534,111.29335068117717,hmm_mpc
2014-11-21,0.9999999962419679,3.758116690785834e-09,5.837568964766975e-18,0.9667648132285542,0.03323518675309092,1.835478323565296e-11,calm,1.016617593413255,-7836.123343420723,442.849262689453,205.11460132462804,107.03613598592153,hmm_mpc
2014-11-28,0.9999996024763158,3.9752323904018115e-07,2.427290441162146e-17,0.9671804661967386,0.032819531861496644,1.9417647752498685e-09,calm,1.0164097698142778,-7891.947876298726,445.28323959664476,205.3633238919296,104.35343651142675,hmm_mpc
2014-12-05,0.9999996056295326,3.943705052651984e-07,5.047083343884444e-16,0.970027326669723,0.029972671375173426,1.9551035976431704e-09,calm,1.014986339597794,-7968.667941485173,448.6066403141633,202.10815085754044,104.28520882828442,hmm_mpc
2014-12-12,3.155921815802217e-25,1.0,3.1683625106300385e-16,0.05908507145034714,0.9312882991553738,0.009626629394279097,transition,1.4848974083662452,-8012.200707339817,416.8999944805179,212.65958721242498,125.44041830705959,hmm_mpc
2014-12-19,0.0002480652392784122,0.9997519170341596,1.7726961987236353e-08,0.052821666216673786,0.9373253482868698,0.009852985496456487,transition,1.4883686451363478,-8036.715023443824,411.0250427477737,220.91836729855436,123.05658995367543,hmm_mpc
2014-12-26,0.07551538745635558,0.9244845876982004,2.484565935888353e-08,0.12076227712496351,0.8701442479895192,0.00909347488551749,transition,1.4532590737657949,-8105.781771565905,409.07396313922663,225.77050262975752,120.15553423101093,hmm_mpc
