metric,original_value,new_value,delta
annualized_return,0.1069518560261544,0.060583495075905436,-0.04636836095024896
annualized_volatility,0.1498218804729121,0.09983614428714989,-0.0499857361857622
sharpe,0.7138600562785714,0.6068292751937062,-0.10703078108486519
max_drawdown,-0.3265207351349727,-0.2102709521847429,0.11624978295022981
final_wealth,3.3739907009727466,1.9917729907682653,-1.3822177102044813
avg_rebalance_turnover,0.0182318942469806,0.019639877638029303,0.001407983391048702
total_cost,0.0174126787987228,0.01948144312377043,0.0020687643250476284
