,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_SHY_weekly
2013-09-26,0.0,0.0,0.0
2013-09-27,0.0,0.0,0.0
2013-09-30,3.0234307381765344e-06,3.1299675659998334e-05,1.0815227706726735e-15
2013-10-01,0.0,0.0,0.0
2013-10-02,0.0,0.0,0.0
2013-10-03,0.0,0.0,0.0
2013-10-04,0.0,0.0,0.0
2013-10-07,2.622953147052243e-06,7.069269424152707e-05,5.4151536041703684e-05
2013-10-08,0.0,0.0,0.0
2013-10-09,0.0,0.0,0.0
2013-10-10,0.0,0.0,0.0
2013-10-11,0.0,0.0,0.0
2013-10-14,3.711886903545812e-06,7.179165611263623e-05,2.7141001786889128e-05
2013-10-15,0.0,0.0,0.0
2013-10-16,0.0,0.0,0.0
2013-10-17,0.0,0.0,0.0
2013-10-18,0.0,0.0,0.0
2013-10-21,3.326392214315236e-06,1.4634054217251774e-05,1.6713861328413582e-12
2013-10-22,0.0,0.0,0.0
2013-10-23,0.0,0.0,0.0
2013-10-24,0.0,0.0,0.0
2013-10-25,0.0,0.0,0.0
2013-10-28,4.238844682877399e-06,9.2291335534515e-06,4.915800887031644e-13
2013-10-29,0.0,0.0,0.0
2013-10-30,0.0,0.0,0.0
2013-10-31,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0
2013-11-04,3.3140701404369354e-06,2.0874356019817102e-05,2.3033387605516056e-13
2013-11-05,0.0,0.0,0.0
2013-11-06,0.0,0.0,0.0
2013-11-07,0.0,0.0,0.0
2013-11-08,0.0,0.0,0.0
2013-11-11,2.3430292288424484e-06,5.1860675950992074e-05,7.909228231733939e-14
2013-11-12,0.0,0.0,0.0
2013-11-13,0.0,0.0,0.0
2013-11-14,0.0,0.0,0.0
2013-11-15,0.0,0.0,0.0
2013-11-18,2.31482786534197e-06,2.2131217680867677e-05,2.6978522893614695e-14
2013-11-19,0.0,0.0,0.0
2013-11-20,0.0,0.0,0.0
2013-11-21,0.0,0.0,0.0
2013-11-22,0.0,0.0,0.0
2013-11-25,4.094297473419648e-06,4.7884966399992126e-05,4.1170569952009844e-10
2013-11-26,0.0,0.0,0.0
2013-11-27,0.0,0.0,0.0
2013-11-29,0.0,0.0,0.0
2013-12-02,4.0695762590658224e-06,1.4988821422788234e-05,5.56951519405171e-05
2013-12-03,0.0,0.0,0.0
2013-12-04,0.0,0.0,0.0
2013-12-05,0.0,0.0,0.0
2013-12-06,0.0,0.0,0.0
2013-12-09,1.6119255260260353e-06,4.1598348468903095e-06,1.2353867209514831e-05
2013-12-10,0.0,0.0,0.0
2013-12-11,0.0,0.0,0.0
2013-12-12,0.0,0.0,0.0
2013-12-13,0.0,0.0,0.0
2013-12-16,3.1061526345015146e-06,1.99820762116078e-05,7.571748861988283e-05
2013-12-17,0.0,0.0,0.0
2013-12-18,0.0,0.0,0.0
2013-12-19,0.0,0.0,0.0
2013-12-20,0.0,0.0,0.0
2013-12-23,3.2544307586834384e-06,1.9632038757750228e-05,1.7582313678521093e-13
2013-12-24,0.0,0.0,0.0
2013-12-26,0.0,0.0,0.0
2013-12-27,0.0,0.0,0.0
2013-12-30,3.1919443286369457e-06,2.9802611891282114e-06,7.15165286656356e-14
2013-12-31,0.0,0.0,0.0
2014-01-02,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0
2014-01-06,2.76919444679135e-06,1.543215094725253e-05,2.9424291833215796e-14
2014-01-07,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0
2014-01-13,3.9004101259903985e-06,8.421765910814729e-06,1.252878428687399e-14
2014-01-14,0.0,0.0,0.0
2014-01-15,0.0,0.0,0.0
2014-01-16,0.0,0.0,0.0
2014-01-17,0.0,0.0,0.0
2014-01-21,3.3491364361373094e-06,1.8250954359651517e-06,1.1050556078655033e-10
2014-01-22,0.0,0.0,0.0
2014-01-23,0.0,0.0,0.0
2014-01-24,0.0,0.0,0.0
2014-01-27,5.9835623564881426e-06,5.17097837850368e-06,2.8359489042090546e-05
2014-01-28,0.0,0.0,0.0
2014-01-29,0.0,0.0,0.0
2014-01-30,0.0,0.0,0.0
2014-01-31,0.0,0.0,0.0
2014-02-03,4.735287847850392e-06,3.2873600943624792e-06,1.4063095837773124e-05
2014-02-04,0.0,0.0,0.0
2014-02-05,0.0,0.0,0.0
2014-02-06,0.0,0.0,0.0
2014-02-07,0.0,0.0,0.0
2014-02-10,2.468979750922508e-06,1.378174827295478e-06,6.321857366335329e-06
2014-02-11,0.0,0.0,0.0
2014-02-12,0.0,0.0,0.0
2014-02-13,0.0,0.0,0.0
2014-02-14,0.0,0.0,0.0
2014-02-18,3.867819196930564e-06,7.022265135277497e-06,4.046801359052034e-10
2014-02-19,0.0,0.0,0.0
2014-02-20,0.0,0.0,0.0
2014-02-21,0.0,0.0,0.0
2014-02-24,1.9899650356121625e-06,3.4092921498856765e-05,6.057269126775834e-05
2014-02-25,0.0,0.0,0.0
2014-02-26,0.0,0.0,0.0
2014-02-27,0.0,0.0,0.0
2014-02-28,0.0,0.0,0.0
2014-03-03,2.963845999981785e-06,3.399404222775104e-05,1.7343358974199788e-05
2014-03-04,0.0,0.0,0.0
2014-03-05,0.0,0.0,0.0
2014-03-06,0.0,0.0,0.0
2014-03-07,0.0,0.0,0.0
2014-03-10,4.260949725791025e-06,1.2528935333813303e-06,2.201341020973799e-08
2014-03-11,0.0,0.0,0.0
2014-03-12,0.0,0.0,0.0
2014-03-13,0.0,0.0,0.0
2014-03-14,0.0,0.0,0.0
2014-03-17,6.2478152226454815e-06,4.08788393201831e-06,5.475860576614393e-12
2014-03-18,0.0,0.0,0.0
2014-03-19,0.0,0.0,0.0
2014-03-20,0.0,0.0,0.0
2014-03-21,0.0,0.0,0.0
2014-03-24,4.5452431343977956e-06,1.8607402138540078e-05,2.6960099847219086e-08
2014-03-25,0.0,0.0,0.0
2014-03-26,0.0,0.0,0.0
2014-03-27,0.0,0.0,0.0
2014-03-28,0.0,0.0,0.0
2014-03-31,5.239750516978732e-06,2.3839815923937226e-05,4.636309768374824e-14
2014-04-01,0.0,0.0,0.0
