date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SHY
2013-04-11,0.1000817866632924,0.10007847798342455,0.09986443306811067,0.09991069212011562,0.09932342574293536,0.10011810381356025,0.09987288250006458,0.10061654868116489,0.10048458329297943,0.09964906613435212
2013-04-12,0.09889574412720242,0.09880232482603545,0.09972641129283563,0.0996321920499264,0.09919116062335627,0.10078414554231713,0.10059088152282815,0.10110252138906506,0.10132040640968797,0.09995421221674551
2013-04-15,0.0,0.0,7.084697098742552e-25,0.0,7.270434636095187e-23,0.39737357373960325,0.13372565221816524,0.06503146114158857,0.0,0.40386931290064304
2013-04-16,0.0,0.0,7.123228324728676e-25,0.0,7.287658610962867e-23,0.4008074602425835,0.1340012190880203,0.0653183425252755,0.0,0.39987297814412076
2013-04-17,0.0,0.0,7.022949555198923e-25,0.0,7.170541219167817e-23,0.39916808903109385,0.1338380101264831,0.06531153248068222,0.0,0.40168236836174087
2013-04-18,0.0,0.0,6.956912255729056e-25,0.0,7.103677254751125e-23,0.3988379950976967,0.1344277729384779,0.06458878561587034,0.0,0.4021454463479551
2013-04-19,0.0,0.0,6.9905588674873945e-25,0.0,7.048940220420143e-23,0.40139167282567645,0.13520178452145262,0.06490366140693474,0.0,0.39850288124593625
2013-04-22,0.0,0.0,1.0585822101206544e-23,0.0,0.0,0.40059766874699,0.17693414037314564,0.022798121109941845,0.0,0.3996700697699224
2013-04-23,0.0,0.0,1.0739627653870114e-23,0.0,0.0,0.4022480511828517,0.17672419340992312,0.02285753319697066,0.0,0.39817022221025455
2013-04-24,0.0,0.0,1.0871040064839258e-23,0.0,0.0,0.39830614344679033,0.1783921321132829,0.022603789897101004,0.0,0.4006979345428258
2013-04-25,0.0,0.0,1.0920716795734764e-23,0.0,0.0,0.39903464403521827,0.17819382229968164,0.022663704611797356,0.0,0.4001078290533028
