date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SHY
2013-04-11,0.1000817866632924,0.10007847798342455,0.09986443306811067,0.09991069212011562,0.09932342574293536,0.10011810381356025,0.09987288250006458,0.10061654868116489,0.10048458329297943,0.09964906613435212
2013-04-12,0.09889574412720242,0.09880232482603545,0.09972641129283563,0.0996321920499264,0.09919116062335627,0.10078414554231713,0.10059088152282815,0.10110252138906506,0.10132040640968797,0.09995421221674551
2013-04-15,1.976265755382594e-08,0.05461602631915899,1.984419965606683e-08,0.030396265009561677,0.059110932299391114,0.2578081688191298,0.10059484460194396,0.11079335613819152,0.10010100143530286,0.28657936577046283
2013-04-16,1.990597478429045e-08,0.05469174815638954,1.993434522495091e-08,0.030477117000876016,0.05919816758250374,0.2598042776948982,0.10071231010070601,0.11118294440722433,0.10044262237585197,0.2834907728412301
2013-04-17,1.9756006374265366e-08,0.05388434467128125,1.97082991859908e-08,0.03019137337600373,0.05840858270727977,0.25946023291304826,0.10086901201621012,0.11148010707558173,0.10014186673034728,0.28556444104594225
2013-04-18,1.9755740215100594e-08,0.05450204131782841,1.955771636664576e-08,0.030144914061597004,0.057966886363690025,0.2597069268886124,0.101493754846441,0.11044260510054542,0.0993405106466868,0.28640232146114225
2013-04-19,1.9821529675553826e-08,0.05393782538018822,1.966612382591958e-08,0.03004166788765915,0.057560669075768456,0.26155355162017047,0.10214991142686283,0.11105905525364579,0.09968959042352434,0.2840076894445272
2013-04-22,1.4561322054416358e-07,0.0,1.1100283711550237e-07,0.0,0.0,0.2924833537866786,0.101847137148623,0.11154146080095811,0.09994634200068651,0.39418144964699603
2013-04-23,1.462610944873009e-07,0.0,1.1255510367719603e-07,0.0,0.0,0.2935304531825557,0.1016716036341235,0.11177202281471406,0.1005345612909706,0.392491100261438
2013-04-24,1.4938706344701336e-07,0.0,1.1392834082146881e-07,0.0,0.0,0.29064371086145974,0.10262757571490067,0.11052734093030839,0.10123225658628682,0.3949688525916402
