period,observations,EqualWeight_weekly_ann_return,EqualWeight_weekly_sharpe,EqualWeight_weekly_max_drawdown,Markowitz_CVXPY_weekly_ann_return,Markowitz_CVXPY_weekly_sharpe,Markowitz_CVXPY_weekly_max_drawdown,HMM_MPC_CVXPY_weekly_ann_return,HMM_MPC_CVXPY_weekly_sharpe,HMM_MPC_CVXPY_weekly_max_drawdown,HMM_minus_EqualWeight_ann_return,HMM_minus_Markowitz_ann_return
2013-2016,1004,0.13044441664705353,1.0396703330202706,-0.13186036327658857,0.12404785613759994,1.04401305039337,-0.11210202544716996,0.1414741427519337,1.1903337929808704,-0.11282279376315119,0.011029726104880178,0.017426286614333764
2017-2019,754,0.12655521627048794,1.0826339240950007,-0.1851681445146749,0.13074366275068794,1.1971733385462298,-0.15933504868168413,0.14692626149536014,1.2727997495854004,-0.1675992780526241,0.02037104522487221,0.016182598744672205
2020_crisis_recovery,253,0.1003153877657772,0.2820551414519398,-0.369803417766274,0.12564799913554658,0.39942606322010143,-0.3250691808239021,0.10560571199634428,0.31751753921365766,-0.32652073513497215,0.005290324230567078,-0.02004228713920231
2021,252,0.29604195305036196,2.35759440358179,-0.04683372640112793,0.2136711350103473,2.040296614729451,-0.06267974678476274,0.20242867933557473,1.8794727453855,-0.06457157795160495,-0.09361327371478723,-0.011242455674772556
2022_inflation_bear,251,-0.051087020784609805,-0.24258781961012874,-0.16951177198683343,-0.08003546373681591,-0.4396412075867817,-0.17442630338488418,-0.07935685953729332,-0.4434178024231617,-0.17783570042365826,-0.028269838752683518,0.0006786041995225922
2023-2024,502,0.14928203364764947,1.3182701496080995,-0.10103050629104504,0.032652327831575345,0.3412072801040623,-0.09207791568227253,0.038870404071403186,0.4046354427223026,-0.0881194996981488,-0.11041162957624628,0.006218076239827841
