date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-08,0.1115895407195649,0.11105115686303889,0.11108883936036039,0.11055819109299604,0.11100027362382746,0.11110309556951858,0.11107001054337937,0.11144346514464165,0.11109542708267275
2013-01-09,0.11195884773322458,0.11052056957992307,0.11060954984955919,0.1113232955546386,0.11084037780382947,0.11100420714322405,0.110501688421345,0.11231192595698845,0.11092953795726763
2013-01-10,0.11171969516802585,0.11079927729072059,0.11125533417970082,0.1111404392828748,0.11068421787992962,0.11093658711855532,0.11025361011235174,0.11236425099968736,0.11084658796815398
2013-01-11,0.11153220584161291,0.1109191071312262,0.11097999564865926,0.1107279666327612,0.11081820902138811,0.11141703887330646,0.11036254800869635,0.1123213625893512,0.11092156625299827
2013-01-14,1.2426748500234745e-10,0.06590839355636062,1.3147540555649235e-10,0.028303384173582427,0.11003105483716215,0.3610120214552618,0.1381963579507378,0.1835955601538784,0.11295322761727405
2013-01-15,1.241753294302515e-10,0.06608701706046131,1.3178190286203799e-10,0.028332650924967423,0.10912709535019306,0.36147540608582224,0.13834293393537486,0.18305236560488328,0.11358253078234054
2013-01-16,1.2344051272902956e-10,0.06646555322096079,1.3202498536985753e-10,0.02825300600343454,0.10963864274330314,0.3614300637009213,0.13785259928315716,0.18288801933128293,0.11347211546147458
2013-01-17,1.2353742922268294e-10,0.0664247546143192,1.3103782156019194e-10,0.028358820301535297,0.10932816951828324,0.36132413605849384,0.13744533301683765,0.18323930018000317,0.11387948605595231
2013-01-18,1.2385594857046941e-10,0.06681078728706477,1.3065976252172225e-10,0.02847220975556991,0.10873761610072714,0.3613470984084283,0.13797174311168608,0.18310530360060898,0.11355524148139919
2013-01-22,7.022956991096e-08,6.733944024501879e-06,4.420511602617278e-08,2.8806412741346096e-07,0.06007466208482376,0.399073795161962,0.14943750150190008,0.2191433861672543,0.17226351864122202
2013-01-23,6.983863943009114e-08,6.710782646016805e-06,4.417835119345647e-08,2.8812803801334464e-07,0.06070492357368085,0.3989533312081727,0.1490596066247481,0.21887833018731193,0.17239669547841174
2013-01-24,6.981147151935826e-08,6.707231195256773e-06,4.425647562133064e-08,2.8886230672785457e-07,0.059461492803723884,0.3986804241182393,0.14921268610746027,0.2195245345758072,0.17311375223332026
2013-01-25,6.962006905509389e-08,6.728288261486492e-06,4.4182033425892135e-08,2.879807586373059e-07,0.0591501956575948,0.3981367081685894,0.14901983265590518,0.21984484383281017,0.1738412896139778
2013-01-28,0.0,1.384501662323274e-06,0.0,0.0,0.05944131483274854,0.40094746515545554,0.05012365200446567,0.2194128341533931,0.2700733493522749
2013-01-29,0.0,1.4013962407498465e-06,0.0,0.0,0.05929072009909329,0.40155939318521494,0.05027342827392797,0.2209140206749488,0.26796103637057433
2013-01-30,0.0,1.3972435126821557e-06,0.0,0.0,0.059230474505513594,0.40162016797173283,0.05041780796035104,0.22069946739836122,0.26803068492052873
2013-01-31,0.0,1.3956491016914672e-06,0.0,0.0,0.05946286471179476,0.4019649740961779,0.05065415908521155,0.22057182914861354,0.26734477730910067
2013-02-01,0.0,1.398333267586316e-06,0.0,0.0,0.059690340426555015,0.4022705438115465,0.05042100105370081,0.22069283986387034,0.26692387651105975
2013-02-04,4.916604661466563e-10,3.8174372254585167e-07,0.0,0.0,0.0595416661335699,0.40049992310611693,0.05061668014034451,0.2205935088277849,0.26874783955680076
2013-02-05,4.88846005408011e-10,3.8089971087418177e-07,0.0,0.0,0.05958224390843168,0.4009161589893418,0.05020837161502983,0.22061316088758123,0.2686796832110587
2013-02-06,4.88754363840217e-10,3.806851976472269e-07,0.0,0.0,0.05949047435777781,0.4009709233253928,0.05029894887354934,0.22029657639739,0.2689426958719381
2013-02-07,4.857501191070482e-10,3.793999145746627e-07,0.0,0.0,0.05944196070730796,0.4027914284358474,0.05032650310327388,0.21930229045967872,0.2681374374082274
2013-02-08,4.867029112533884e-10,3.8146757686571165e-07,0.0,0.0,0.0597295376897373,0.40090359938435105,0.05013069231106687,0.2200719863561815,0.26916380230438364
2013-02-11,0.0,0.0,0.0,0.0,0.0,0.4004285079662041,0.11117325648004861,0.21985108695976877,0.26854714859397855
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.3996554682226677,0.11156041209675643,0.21940746200700664,0.26937665767356916
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.39973919335348623,0.11146468487607097,0.2190672402761089,0.26972888149433405
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.40038821797503815,0.11050306126340793,0.2194113165205875,0.2696974042409664
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.40028108863436107,0.11056754741475891,0.219566876799157,0.26958448715172295
2013-02-19,2.9127231802423873e-18,2.9760779550825423e-18,2.9661871654158548e-18,2.96309750169933e-18,2.9696935023419915e-18,0.40108208967800113,0.1109956252584185,0.21931432775137444,0.26860795731220594
2013-02-20,2.8493320243968436e-18,2.932749262718695e-18,2.9404930883067174e-18,2.943402827478063e-18,2.9481016836691593e-18,0.4029430390468652,0.11150532915976306,0.21932362628825172,0.26622800550512005
2013-02-21,2.8300467293751306e-18,2.919487474936634e-18,2.9243143587691503e-18,2.92891313094541e-18,2.931323371914137e-18,0.40520639827782295,0.1112942360670103,0.2188466289584077,0.264652736696759
2013-02-22,2.850705660393385e-18,2.93280587464231e-18,2.943642116849302e-18,2.9347046765661173e-18,2.9498731812706234e-18,0.4051558672520549,0.1117525744610492,0.21851797579060295,0.2645735824962929
2013-02-25,0.0,0.0,0.0,0.0,0.0,0.39976100512714435,0.11739715679610582,0.2189472901655398,0.2638945479112099
2013-02-26,0.0,0.0,0.0,0.0,0.0,0.39892674573285236,0.11722229869411294,0.21852928933972393,0.2653216662333107
2013-02-27,0.0,0.0,0.0,0.0,0.0,0.39772013106666065,0.11707626178307162,0.21863036943606345,0.2665732377142043
2013-02-28,0.0,0.0,0.0,0.0,0.0,0.3969900282634325,0.11733024851716554,0.2181429173160964,0.2675368059033056
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.39681265226414014,0.11709750623723816,0.21895416083000524,0.26713568066861654
2013-03-04,4.916287478450591e-18,4.926351525720469e-18,4.961969049063168e-18,4.9161058514457755e-18,4.9581255119078266e-18,0.3999361247284286,0.11737455245116375,0.2184616888087639,0.2642276340116438
2013-03-05,4.9173583243051934e-18,4.925949321357699e-18,4.971376395603088e-18,4.953641641993626e-18,4.993831928555009e-18,0.39868528800509456,0.11722957854736031,0.21891939520705656,0.26516573824048867
