asset,EqualWeight_weekly,HMM_MPC_CVXPY_weekly,Markowitz_CVXPY_weekly,hmm_minus_ew_contribution
XLF,0.016237668344857414,0.001048451205585668,0.0036182285065258796,-0.015189217139271745
XLI,0.015468450669462388,0.0006247185541852307,-0.001360787396826917,-0.014843732115277158
XLB,0.011746224693501206,-0.000855466710284406,-0.0004544353676754481,-0.01260169140378561
XLE,0.010316033116563613,0.00033495360251246595,0.001541936166825803,-0.009981079514051147
XLY,0.017772036485417236,0.013913982632636213,0.01322579136964272,-0.003858053852781023
XLK,0.023209338267483018,0.02113983382021874,0.0080224364241558,-0.0020695044472642775
XLU,0.012449370247062974,0.01851701356331428,0.015637804489304682,0.006067643316251306
XLV,0.014424681089862284,0.027443268102511135,0.031834920256655824,0.01301858701264885
XLP,0.01126463538075289,0.03142303367690257,0.033659581435978025,0.020158398296149682
