date,prob_calm,prob_transition,prob_stress,next_prob_calm,next_prob_transition,next_prob_stress,dominant_regime,next_cost_multiplier,hmm_log_likelihood,effective_sample_calm,effective_sample_transition,effective_sample_stress,solver_status
2013-01-11,0.999999999992724,7.097670230262132e-12,3.0514695418615363e-27,0.9857886309625912,0.01421136903716239,2.4642005918792365e-13,calm,1.007105684519074,-6627.761571322387,441.8676193751076,117.83583369759953,137.2965469273118,hmm_mpc
2013-01-18,0.9999999999854481,1.4928371913209086e-11,4.252495564276294e-28,0.9854312200719049,0.014568779927580159,5.148554568080931e-13,calm,1.0072843899648196,-6670.165772111895,445.4453348018364,119.20771041062798,137.34695478755242,hmm_mpc
2013-01-25,0.9999887388846369,1.1261115722522927e-05,3.57465107597902e-21,0.960970768127746,0.03902909612321552,1.3574903851615063e-07,calm,1.0195148195596848,-6129.259615144941,257.3596441663768,248.88328118905702,199.7570746445784,hmm_mpc
2013-02-01,0.9999992921505286,7.078494674440993e-07,3.592195149882607e-22,0.961727233818737,0.0382727576497906,8.531472423413983e-09,calm,1.01913639588784,-6165.561024489599,262.196037945335,248.92504303207167,199.8789190225936,hmm_mpc
2013-02-08,1.0,6.884554628676357e-24,4.93757642049091e-16,0.9906437883527197,1.6639195927620963e-17,0.009356211647280177,calm,1.0187124232945601,-6674.082862189811,425.5077347766534,141.812603988583,148.67966123477112,hmm_mpc
2013-02-15,1.0,4.555622939903968e-25,1.2263504500777978e-16,0.9907519457866717,4.1322426043859495e-18,0.009248054213328373,calm,1.0184961084266568,-6720.700852883236,430.2883140823333,142.0129878054284,148.69869811224908,hmm_mpc
2013-02-22,1.0,8.967721537736069e-24,3.2302427695791187e-15,0.9908353577541175,1.0883296399998766e-16,0.009164642245882437,calm,1.0183292844917649,-6755.686001305315,434.12211577350456,142.16095544368363,148.7169287828213,hmm_mpc
2013-03-01,1.0,8.445409772313216e-24,4.588540943248269e-15,0.9909666751542725,1.5467253561199274e-16,0.009033324845727385,calm,1.0180666496914548,-6797.892473131395,438.95077302970213,142.40244357961245,148.64678339068413,hmm_mpc
2013-03-08,1.0,1.4032267801358895e-26,1.8918865766728056e-17,0.9910414922204723,6.372536376010367e-19,0.008958507779527763,calm,1.0179170155590556,-6835.725094968325,443.68783093158487,142.55188793495446,148.76028113346325,hmm_mpc
2013-03-15,1.0,1.4537125539428756e-27,7.25421589207726e-18,0.9911677358888195,2.4444974083006085e-19,0.00883226411118056,calm,1.017664528222361,-6880.679918767157,448.5846572374653,142.71554977638743,148.69979298615164,hmm_mpc
2013-03-22,1.0,2.8926306186322646e-25,6.246033151589009e-17,0.9912194411259098,2.102538650121302e-18,0.008780558874090294,calm,1.0175611177481807,-6917.8023633607545,453.286622539282,142.85243509704088,148.86094236368308,hmm_mpc
2013-03-28,1.0,5.3343560149141215e-25,3.381880132830148e-16,0.9887106847305819,1.0998803160710577e-17,0.011289315269418223,calm,1.0225786305388365,-6954.272686295534,452.45119488911484,142.46639654229187,154.08240856859908,hmm_mpc
2013-04-05,0.9997253890426917,0.00027461095769681085,3.369451159586234e-20,0.9617749896887472,0.0382217716678294,3.238643423459544e-06,calm,1.0191173631207615,-6488.902037837931,298.95871958396623,254.39720619009321,200.6440742259394,hmm_mpc
2013-04-12,0.9999999999899956,9.828655183491356e-23,9.639246270540951e-12,0.9858567311573752,2.5938326131546143e-13,0.014143268842365445,calm,1.0282865376848604,-6987.959198590862,428.67554366642673,139.7736114198964,186.5508449136846,hmm_mpc
2013-04-19,1.0,1.5321951137353618e-22,2.332265187294312e-14,0.9916109001473379,7.869666029472297e-16,0.008389099852661352,calm,1.0167781997053231,-7011.62031308393,462.86276429563645,143.6254268601956,148.511808844175,hmm_mpc
2013-04-26,1.0,2.5045971719869098e-27,4.865986879372663e-17,0.9935380172512994,1.662452598536875e-18,0.006461982748700568,calm,1.0129239654974012,-7010.601123622303,464.2722957057555,144.04831556060157,146.67938873364412,hmm_mpc
2013-05-03,1.0,7.758266176930155e-27,2.6099248315556588e-17,0.9914844181408157,8.790450623222172e-19,0.008515581859184428,calm,1.0170311637183689,-7002.167742054528,462.2342286016216,143.9699253392488,148.79584605914565,hmm_mpc
2013-05-10,1.0,3.2099789703311726e-30,3.0241908005420396e-19,0.9957158585777451,1.0539768570573134e-20,0.004284141422254866,calm,1.0085682828445097,-6977.145307409194,466.86135404991995,144.424167363835,143.71447858624882,hmm_mpc
