year,EqualWeight_weekly_return,Markowitz_CVXPY_weekly_return,HMM_MPC_CVXPY_weekly_return,HMM_minus_EqualWeight,HMM_minus_Markowitz
2013,0.27601299472431884,0.2453194694762244,0.26911956470853693,-0.0068934300157819095,0.023800095232312524
2014,0.1333653545628073,0.19883698004610317,0.19420981302399243,0.060844458461185136,-0.004627167022110745
2015,-0.013716763797285259,0.01969659909135002,0.05163565498985756,0.06535241878714282,0.03193905589850754
2016,0.1426808408072444,0.04669757693420573,0.06292757881957955,-0.07975326198766486,0.016230001885373824
2017,0.1921069696358355,0.16144635526101125,0.16016001712757233,-0.03194695250826318,-0.0012863381334389246
2018,-0.062316690024577404,-0.03401826295115162,-0.026395606301569674,0.03592108372300773,0.007622656649581949
2019,0.27783653615697834,0.28736260896769816,0.3342388058325454,0.05640226967556705,0.04687619686484723
2020,0.1007328744497833,0.12617681547183213,0.10604625788168232,0.005313383431899021,-0.02013055759014981
2021,0.29604195305036196,0.2136711350103473,0.20242867933557473,-0.09361327371478723,-0.011242455674772556
2022,-0.05088954281258806,-0.07973087528458922,-0.07905474116263822,-0.028165198350050158,0.0006761341219509998
2023,0.1389533718927669,-0.001987809915497296,0.0050597433423993365,-0.13389362855036757,0.007047553257896633
2024,0.15842444696236924,0.0682223584721009,0.07349352799074804,-0.0849309189716212,0.005271169518647145
