rolling_window,future_horizon_days,mean_spearman_ic,median_spearman_ic,sign_hit_rate,annualized_top_minus_bottom_realized,observations
252,1,0.012631299049253492,0.03333333333333333,0.5237578388808489,0.09714473464562934,2764
252,5,0.014329710144927536,0.03333333333333333,0.5442028985507247,0.08884785518832142,2760
252,21,0.0029215257531584058,0.016666666666666666,0.5679462261094914,0.08368640826883529,2744
504,1,0.018044740944729187,0.03333333333333333,0.5288835810332625,0.03215025634798764,2512
504,5,0.020713716108452955,0.016666666666666666,0.5586124401913876,0.05271286093968675,2508
504,21,0.0016720171214553256,0.0,0.5940342429106473,0.0490127227209524,2492
756,1,0.01438652190518261,0.03333333333333333,0.5363323500491642,0.010570987256253304,2260
756,5,0.008880023640661937,0.016666666666666666,0.5719070133963751,-0.002340191805496581,2256
756,21,0.009047619047619047,0.016666666666666666,0.6231646825396825,-0.01694620265200513,2240
