regime,observations,EqualWeight_weekly_ann_return,EqualWeight_weekly_vol,EqualWeight_weekly_avg_turnover,EqualWeight_weekly_total_cost,Markowitz_CVXPY_weekly_ann_return,Markowitz_CVXPY_weekly_vol,Markowitz_CVXPY_weekly_avg_turnover,Markowitz_CVXPY_weekly_total_cost,HMM_MPC_CVXPY_weekly_ann_return,HMM_MPC_CVXPY_weekly_vol,HMM_MPC_CVXPY_weekly_avg_turnover,HMM_MPC_CVXPY_weekly_total_cost,HMM_minus_EqualWeight_ann_return,HMM_minus_Markowitz_ann_return
calm,1576,0.12764148637114037,0.09555414265216881,0.0010371352059147894,0.0016345250845217238,0.0947890473016102,0.08762254719412431,0.008123544380738965,0.01280270594404325,0.09455152130106681,0.08939288806066456,0.003631246805300349,0.005829103821728866,-0.03308996507007356,-0.00023752600054338657
stress,508,0.20076100419614584,0.2800627526021545,0.0014414065672287626,0.0007322345361522165,0.13464597422869695,0.2531677123108143,0.011810659012451106,0.0059998147783248655,0.17795772621577655,0.2652298609240049,0.004225149774755463,0.006315061055714447,-0.022803277980369296,0.043311751987079594
transition,929,0.08427574903912549,0.16507391244735278,0.0013421753836146706,0.0012468809313780382,0.08449234996609034,0.1436507223016847,0.0071441855165022775,0.006636948344830402,0.0889139386192086,0.14455921339957956,0.0037951699177974016,0.005268513921277538,0.0046381895800831074,0.004421588653118258
