,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_CVXPY_weekly
2013-01-08,-0.002739361025400955,-0.002739361025400955,-0.002739361025400955
2013-01-09,0.003148443821219926,0.003148443821219926,0.003148443821219926
2013-01-10,0.006520210464479037,0.006520210464479037,0.006520210464479037
2013-01-11,0.00014271423896450308,0.00014271423896450308,0.00014271423896450308
2013-01-14,-7.039964160271417e-05,0.00012420515087452344,0.0003342437432483081
2013-01-15,0.0020056489926680854,0.0022987505788560902,0.001767653927905899
2013-01-16,-0.001488644174360454,-0.002831587802284319,-0.0012583522293803107
2013-01-17,0.006488840920743977,0.00621901362311017,0.00694546257925821
2013-01-18,0.00456685614233221,0.005274161915586939,0.0040644825298619125
2013-01-22,0.005484025723843988,0.003910404211240781,0.0024498127236338707
2013-01-23,-0.00022100161602023327,-0.0011816362637983024,2.7735832258901638e-05
2013-01-24,0.002334855877466069,0.004272455642874151,0.0034278748532490244
2013-01-25,0.005566262449117287,0.005762541149612277,0.006293042197688559
2013-01-28,-0.002119560491524841,-0.0007373244900118481,-0.0016471462187818142
2013-01-29,0.005389483939627127,0.005852948487763632,0.0039040649240602576
2013-01-30,-0.003685419520524036,-0.000960103623460884,-0.0020429950729723423
2013-01-31,-0.0023513428711003925,-0.0003272919306409605,-0.0022114049534682767
2013-02-01,0.00891988273599198,0.005790009174578392,0.007370966718169614
2013-02-04,-0.01020929517345781,-0.008807965724930256,-0.01065495434073993
2013-02-05,0.008960419320533264,0.008051151328423378,0.010899308053985424
2013-02-06,0.0010638859591791672,0.0018172870327481938,0.0012051330058475695
2013-02-07,-0.0012326837736686969,0.0020336764141513086,0.0008161515853881696
2013-02-08,0.004948658223503211,0.0011708913720160918,0.003906006144738239
2013-02-11,-0.00037869063676054804,0.0004989238673702712,-0.0011485525170128463
2013-02-12,0.002035359022083183,0.0013468724127931875,0.0008648560222139778
2013-02-13,0.0013837114506618509,0.0004341801923906097,0.0008588121053041409
2013-02-14,0.0004422397287429103,-0.0020831780021878243,0.0005102410773876187
2013-02-15,-0.0010578955888326247,0.0018088308726724733,0.0015988083875269066
2013-02-19,0.006624926393796526,0.008675278558631927,0.007378428561852113
2013-02-20,-0.01288862518963263,-0.003032631458161905,-0.006452324078116245
2013-02-21,-0.00593166019772462,-0.0014873323382732506,-0.002439060689638284
2013-02-22,0.009122810165332229,0.007248607997863976,0.005908742599958883
2013-02-25,-0.01778421920762796,-0.011239493305188142,-0.013006586321173463
2013-02-26,0.006149674266136662,0.002680396985762501,0.004480995137137178
2013-02-27,0.013177998481066933,0.00883834872031164,0.010457571002967514
2013-02-28,0.00026236493510500836,0.0010207400394972588,0.0013133159976406183
2013-03-01,0.002204414273386357,0.0036151270174913375,0.003861544530338934
2013-03-04,0.004520573696606522,0.00818057954599638,0.007745498831506437
2013-03-05,0.008547789791436333,0.005187514420873285,0.006523576584519075
2013-03-06,0.0015900217098634428,-0.000734245377285947,-0.0007504123717936295
2013-03-07,0.0016429764705137018,-0.0019260255061224196,-0.0002126005571437828
2013-03-08,0.004826551915898314,0.0019303857947068348,0.004170273798602464
2013-03-11,0.003378923909609366,0.002394498005870327,0.002471814672296402
2013-03-12,-0.00165957299368924,-0.0005685390328914464,-0.000491134365968704
2013-03-13,0.0016483535618350142,0.002866454041268396,0.003058468348593024
2013-03-14,0.005079585832210576,0.0023578458191564344,0.0020798465901363805
2013-03-15,-0.0004113156624178105,0.0004506958277925577,-0.002462871373283493
2013-03-18,-0.005935474771829097,-0.004749096932704089,-0.005318494824472331
2013-03-19,-0.0020480406341850665,0.0045300746191569985,0.0019430216216227425
2013-03-20,0.006984089699445972,0.0084391454373407,0.009555717086225934
2013-03-21,-0.00860175254263662,-0.004322540154682697,-0.0052268198067086935
2013-03-22,0.006688727827584673,0.005868106832535247,0.008785976241136195
2013-03-25,-0.00366138081204348,-0.0017269703077340548,-0.0016415993127274486
2013-03-26,0.007890453171120804,0.009870139005863976,0.00873840495978051
2013-03-27,0.0005416946435625736,0.0025840373440273456,0.0014733236392858728
2013-03-28,0.004618502550613579,0.008245787406094385,0.005953943424418462
2013-04-01,-0.004692051329166502,-0.0006025864839914741,-0.0017871426416968816
2013-04-02,0.0031859990153784157,0.008576310568584988,0.010024444397477295
